cid,business,area,category,raw_amenities,kept,removed,kept_count,removed_count
1952261552637324801,ALMA Masajes,Playa Negra,wellness,Spa de masajes; PURE Jungle Spa; Spa y centro de bienestar,Spa de masajes; Spa y centro de bienestar,PURE Jungle Spa,2,1
565813449899308633,Aloha Skincare and Wellness,Puerto Viejo,services,Spa de masajes; PURE Jungle Spa; Spa y centro de bienestar; Spacio Relax Verónica,Spa de masajes; Spa y centro de bienestar,PURE Jungle Spa; Spacio Relax Verónica,2,2
3494255912740671382,Ambar Tattoo Space,Puerto Viejo,services,AMBAR Tattoo Space,,AMBAR Tattoo Space,0,1
14941158757917200222,Amimodo Restaurant,Puerto Viejo,restaurant,Espagueti,,Espagueti,0,1
730773173410850082,"Aroma Coffee Bar and Breakfast - Cahuita, Limón, Costa Rica",Cahuita,restaurant,"Aroma, Coffee Bar & Food",,"Aroma, Coffee Bar & Food",0,1
3477422119483013906,"Arrecife Hotel y Restaurante - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,restaurant,bartender,,bartender,0,1
16025283821069438745,"Asante Bistro & Café - Cahuita, Limón, Costa Rica",Cahuita,restaurant,Restaurante Éwa & Lounge Bar,,Restaurante Éwa & Lounge Bar,0,1
2898935241958549311,"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,restaurant,Azul Bar & Grill,,Azul Bar & Grill,0,1
16439982460016547770,"Baya Baya Café - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Restaurante de desayunos; Desayuno,Desayuno,Restaurante de desayunos,1,1
5126079905553228488,Beauty Ritual Spa,Cocles,wellness,PURE Jungle Spa; Spa y centro de bienestar; Spa de masajes; Spacio Relax Verónica,Spa y centro de bienestar; Spa de masajes,PURE Jungle Spa; Spacio Relax Verónica,2,2
18318447306973081283,"Blessed House - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,Puerto Viejo Club Villas & Pool; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Cocina en todas las habitaciones; Gimnasio; Libre de humo,Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Cocina en todas las habitaciones; Gimnasio; Libre de humo,Puerto Viejo Club Villas & Pool,7,1
9729510481461644038,BOA Coworking,Puerto Viejo,restaurant,BOA Coworking Space - Above The Green Jaguar; Espacio de coworking; wifi; respaldo,Espacio de coworking; wifi,BOA Coworking Space - Above The Green Jaguar; respaldo,2,2
13905258454095862905,"Bungalow Malú Lodge - Cahuita, Limón, Costa Rica",Cahuita,hotel,Desayuno incluido; Incluye desayuno; HOTEL Piscina Natural; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Gimnasio,Desayuno incluido; Incluye desayuno; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Gimnasio,HOTEL Piscina Natural,8,1
2857032637458926519,"Cabañas Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,cocina; Vanesa Barrantes,cocina,Vanesa Barrantes,1,1
11022406936380395131,"Cabinas Surf Side - Cahuita, Limón, Costa Rica",Cahuita,hotel,Secret Garden; Wi-Fi gratis; Estacionamiento gratuito; Piscina; Aire acondicionado; Gimnasio,Wi-Fi gratis; Estacionamiento gratuito; Piscina; Aire acondicionado; Gimnasio,Secret Garden,5,1
1242408439996904931,Cacao Huasi,Puerto Viejo,restaurant,barrita de chocolate; Increíble espacio frente al mar .,,barrita de chocolate; Increíble espacio frente al mar .,0,2
904701918920547958,"Cacao Trails Bole - Hone Creek, Limón, Costa Rica",Hone Creek,tour_company,Andisap Arebar,,Andisap Arebar,0,1
11273521356461778959,"Café del Mar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Maribel Tobar,,Maribel Tobar,0,1
8483815143288546232,Calipso,Puerto Viejo,restaurant,barista,,barista,0,1
15075381955885778012,Caribbean Blue Morpho Casitas,Playa Negra,vacation_rental,"Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi y estacionamiento; Casa Naranja El Jardin 6 Pax","Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi y estacionamiento",Casa Naranja El Jardin 6 Pax,2,1
6745087497030231094,Caribe Dental,Puerto Viejo,services,ÁMBAR Tattoo Space,,ÁMBAR Tattoo Space,0,1
8711730419987475064,"Caribeans Coffee and Chocolate - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Great breakfast!; barrita de chocolate,,Great breakfast!; barrita de chocolate,0,2
9228433576839534036,Casa Canopy,Cocles,restaurant,Wi-Fi gratis; Estacionamiento gratuito; Cocina en todas las habitaciones; Libre de humo; Stefan,Wi-Fi gratis; Estacionamiento gratuito; Cocina en todas las habitaciones; Libre de humo,Stefan,4,1
15109859868766777239,Casa del Caribe B&B,Playa Negra,hotel,Casa Caribeña con Jardin,,Casa Caribeña con Jardin,0,1
17469621114106254322,"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,Bed & Breakfast; Desayuno incluido; Cocina; Incluye Wi-Fi y estacionamiento; El Jardin de Playa Negra,Bed & Breakfast; Desayuno incluido; Cocina; Incluye Wi-Fi y estacionamiento,El Jardin de Playa Negra,4,1
17469621114106254322,"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,Bed & Breakfast; Desayuno incluido; Cocina; Incluye Wi-Fi y estacionamiento; El Jardin de Playa Negra,Bed & Breakfast; Desayuno incluido; Cocina; Incluye Wi-Fi y estacionamiento,El Jardin de Playa Negra,4,1
4666775397025577928,"Casa Rio Restaurant & Bar - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Casa Rio Restaurant + Bar,,Casa Rio Restaurant + Bar,0,1
1214008658533978760,"Casa Roble de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,El Jardin de Playa Negra,,El Jardin de Playa Negra,0,1
17447691794708739658,"Casita Kreyol - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,abarrotes,,abarrotes,0,1
7240010806083907203,Central de Mascotas,Puerto Viejo,services,Centro de Mascotas Pto Viejo y veterinario; Tienda de suministros para mascotas,,Centro de Mascotas Pto Viejo y veterinario; Tienda de suministros para mascotas,0,2
6040828318272438452,Cerrajería Paris,Puerto Viejo,services,Cerrageria bribri y aire acondicionado,,Cerrageria bribri y aire acondicionado,0,1
15813957405519010877,"Chao's Paradise - Cahuita, Limón, Costa Rica",Cahuita,restaurant,Chao's Bar Restaurant; Bar restaurante; cocina; Coco's Bar; Restobar Fusion; Restobar; Reggae Bar; Bar,Bar restaurante; cocina; Restobar Fusion; Restobar; Bar,Chao's Bar Restaurant; Coco's Bar; Reggae Bar,5,3
15977758811209084867,Chill and Cheese Snackbar,Puerto Viejo,restaurant,La Barra del Ceviche Puerto Viejo,,La Barra del Ceviche Puerto Viejo,0,1
6051193694241034944,"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,"Incluye desayuno, Wi-Fi y estacionamiento; El Jardin de Playa Negra","Incluye desayuno, Wi-Fi y estacionamiento",El Jardin de Playa Negra,1,1
5961957804184993948,"Chiquita Escondida - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,Eduardo Barboza,,Eduardo Barboza,0,1
13987590870242443651,"Clinica Veterinaria Green Vet - Hone Creek, Limón, Costa Rica",Hone Creek,services,Centro de Mascotas Pto Viejo y veterinario,,Centro de Mascotas Pto Viejo y veterinario,0,1
15400950969629438728,Clínica Veterinaria Arroyo y Solano,Puerto Viejo,services,alimentos para mascotas; Enrique Barrientos; Centro de Mascotas Pto Viejo y veterinario,,alimentos para mascotas; Enrique Barrientos; Centro de Mascotas Pto Viejo y veterinario,0,3
11726717133900260893,"Colina Secreta - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,La fruta del desayuno es increíble ♥️; Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,La fruta del desayuno es increíble ♥️,11,1
1992524522108535061,Como en la Gloria,Puerto Viejo,restaurant,comida española; La casita de Monli Bar Restaurante; Cocina latinoamericana,Cocina latinoamericana,comida española; La casita de Monli Bar Restaurante,1,2
15849146102448801527,"Cool and Calm Cafe - Manzanillo, Limón, Costa Rica",Manzanillo,restaurant,Cool & Calm Reggae Bar and Grill,,Cool & Calm Reggae Bar and Grill,0,1
12833664519499680091,Cosmos Puerto Viejo Tattoo,Puerto Viejo,services,Barbershop; Barbería,,Barbershop; Barbería,0,2
9034432070677152199,De Gustibus Bakery,Puerto Viejo,restaurant,Bar tapas y más; Bar y restaurante; sándwiches de desayuno,Bar tapas y más; Bar y restaurante,sándwiches de desayuno,2,1
14914017430472405216,"El Chante de Moncho - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,infantiles,,infantiles,0,1
10376714198650196690,"El Jardin de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,El Jardin de Playa Negra; eljardindeplayanegra.com,,El Jardin de Playa Negra; eljardindeplayanegra.com,0,2
1774712170744498946,"El Pampa Asador - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,restaurant,Azul Bar & Grill,,Azul Bar & Grill,0,1
12004515342485209052,"El Rincon Porteño - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,restaurant,parque infantil,,parque infantil,0,1
4794006171803715674,Elena De Luca Studio,Puerto Viejo,services,Virtual Space CR - 3D Photography,,Virtual Space CR - 3D Photography,0,1
6658711880224661769,"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,Hidden Garden,,Hidden Garden,0,1
8716363808718267189,Eñe Spanish Teachers,Puerto Viejo,services,Eñe Spanish Teachers; costaricaspanishteachers.com; Spanish Lessons With Dana; Spanish by the Sea - Puerto Viejo; Spanish School PURA VIDA,,Eñe Spanish Teachers; costaricaspanishteachers.com; Spanish Lessons With Dana; Spanish by the Sea - Puerto Viejo; Spanish School PURA VIDA,0,5
9409071117936930456,"Farmacia San Gabriel - Cahuita, Limón, Costa Rica",Cahuita,shopping,Fanny Gabriela Jiménez Torres,,Fanny Gabriela Jiménez Torres,0,1
7972003479335139796,"Finca La Isla Botanical Garden - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,tour_company,Vivero Green Garden - Playa Negra,,Vivero Green Garden - Playa Negra,0,1
7972003479335139796,"Finca La Isla Botanical Garden - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,tour_company,Vivero Green Garden - Playa Negra,,Vivero Green Garden - Playa Negra,0,1
11995643747907112875,Gelateria Deelite,Puerto Viejo,restaurant,Melinna Barrantes,,Melinna Barrantes,0,1
186463717107051484,"Goddess Garden - Cahuita, Limón, Costa Rica",Cahuita,hotel,thegoddessgarden.com; Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio,Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio,thegoddessgarden.com,9,1
14220452903198803816,Green Jaguar Irish Gastro Pub,Puerto Viejo,restaurant,Bar; PUERTO PIRATA TIKI BAR,Bar,PUERTO PIRATA TIKI BAR,1,1
11456769578958313273,Grow Beachfront Restaurant,Puerto Viejo,restaurant,Burrito de desayuno; wifi; Cocina latinoamericana,wifi; Cocina latinoamericana,Burrito de desayuno,2,1
3898303194050413799,"GypSea Café - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,restaurant,Deliciosas opciones😋👌🏽#desayuno,,Deliciosas opciones😋👌🏽#desayuno,0,1
444550623725401269,"Hakuna Matata Hostel - Cahuita, Limón, Costa Rica",Cahuita,hostel,Secret Garden; Wi-Fi gratis; Piscina; Se permiten mascotas; Gimnasio,Wi-Fi gratis; Piscina; Se permiten mascotas; Gimnasio,Secret Garden,4,1
18254971901429379098,Hidden Garden Ethnobotanical Sanctuary,Puerto Viejo,tour_company,Hidden Garden; hiddengarden.co,,Hidden Garden; hiddengarden.co,0,2
17658715504289400300,Hot Rocks,Puerto Viejo,restaurant,Bar restaurante; Spareribs; malabares; Bar de cócteles,Bar restaurante; Bar de cócteles,Spareribs; malabares,2,2
13214603253697214599,"Hotel Boutique D'Angelo - Manzanillo, Limón, Costa Rica",Manzanillo,vacation_rental,Ven a disfrutar ya contamos con piscina.; Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Cocina en algunas habitaciones; Gimnasio; Libre de humo,Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Cocina en algunas habitaciones; Gimnasio; Libre de humo,Ven a disfrutar ya contamos con piscina.,10,1
353287636532313894,"Hotel Cabinas Nadine - Cahuita, Limón, Costa Rica",Cahuita,vacation_rental,Wi-Fi gratis; Incluye Wi-Fi y estacionamiento; HOTEL Piscina Natural; Incluye Wi-Fi,Wi-Fi gratis; Incluye Wi-Fi y estacionamiento; Incluye Wi-Fi,HOTEL Piscina Natural,3,1
12922727533389204233,"Hotel Hawa - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,Incluye Wi-Fi y estacionamiento; Puerto Viejo Club Villas & Pool,Incluye Wi-Fi y estacionamiento,Puerto Viejo Club Villas & Pool,1,1
12163838727176411611,"Hotel La Diosa - Cahuita, Limón, Costa Rica",Cahuita,hotel,"Bed & Breakfast; Incluye Wi-Fi y estacionamiento; Incluye desayuno, Wi-Fi y estacionamiento; HOTEL Piscina Natural; Incluye Wi-Fi; Desayuno; Aire acondicionado; Transporte desde/hacia el aeropuerto","Bed & Breakfast; Incluye Wi-Fi y estacionamiento; Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi; Desayuno; Aire acondicionado; Transporte desde/hacia el aeropuerto",HOTEL Piscina Natural,7,1
16900161777165927286,"Il Fiore Rosso - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Erika Barger,,Erika Barger,0,1
12067959796908866585,"Indulgence Spa - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,services,PURE Jungle Spa; Spa y centro de bienestar; Beauty By Ferrara Aesthetics & Spa; Spa; Puerto viejo Massages SPA center,Spa y centro de bienestar; Spa,PURE Jungle Spa; Beauty By Ferrara Aesthetics & Spa; Puerto viejo Massages SPA center,2,3
17441244772065149373,Iriria Specialty Coffee Shop,Puerto Viejo,restaurant,barista,,barista,0,1
9435208628058025334,"Jaguar Rescue Center - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,huérfanos,,huérfanos,0,1
3484755376915308939,Johnny's Place,Puerto Viejo,restaurant,Bar; PUERTO PIRATA TIKI BAR,Bar,PUERTO PIRATA TIKI BAR,1,1
543073464450059371,Juice for Life Wolaba,Puerto Viejo,restaurant,Smoothies and Breakfast,,Smoothies and Breakfast,0,1
18141110668997261824,Namu Garden Hotel and Spa,Puerto Viejo,hotel,Namu Garden Hotel & Spa; Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio; Bar,Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio; Bar,Namu Garden Hotel & Spa,11,1
94575443808973745,KOKi Beach,Puerto Viejo,restaurant,PUERTO PIRATA TIKI BAR; Cocina latinoamericana; Bar,Cocina latinoamericana; Bar,PUERTO PIRATA TIKI BAR,2,1
3403734860617253025,"La Casa Del Mango - Cahuita, Limón, Costa Rica",Cahuita,vacation_rental,patio,,patio,0,1
17125108004029582358,La Casita de Monli,Puerto Viejo,restaurant,La casita de Monli Bar Restaurante,,La casita de Monli Bar Restaurante,0,1
15662198641513996653,"La Finca Chica - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,Physis Caribbean Bed & Breakfast Hotel; Incluye desayuno y estacionamiento; Wi-Fi gratis; Piscina; Gimnasio,Incluye desayuno y estacionamiento; Wi-Fi gratis; Piscina; Gimnasio,Physis Caribbean Bed & Breakfast Hotel,4,1
7972003479335139796,"Finca La Isla Botanical Garden - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,tour_company,Vivero Green Garden - Playa Negra,,Vivero Green Garden - Playa Negra,0,1
11481951678172081848,La loma de burrito,Playa Chiquita,restaurant,Lacasadenoahbartly,,Lacasadenoahbartly,0,1
3738318817422763383,La Paloma Studio en Coclès con cocina a,Playa Negra,restaurant,Bed & Breakfast; Cocina; terraza; Maryel Barrantes,Bed & Breakfast; Cocina; terraza,Maryel Barrantes,3,1
16671506007035121722,"Pecora Nera - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,Espagueti; Bar; restaurantes de alta cocina; Bárbara; Cocina latinoamericana,Bar; Cocina latinoamericana,Espagueti; restaurantes de alta cocina; Bárbara,2,3
10617292672602655877,"La Prometida - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,Desayuno incluido; Puerto Viejo Club Villas & Pool; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,Puerto Viejo Club Villas & Pool,11,1
1919422794756532278,"La Ruedita - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,restaurant,La barrita tropical,,La barrita tropical,0,1
16726434082337585414,"La Shamana Ecolodge - Cahuita, Limón, Costa Rica",Cahuita,hotel,Alouatta Lodge and Canopy - Bungalow with Fan; Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Spa,Wi-Fi gratis; Desayuno incluido; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en algunas habitaciones; Transporte desde/hacia el aeropuerto; Spa,Alouatta Lodge and Canopy - Bungalow with Fan,11,1
3486593641699246622,La Tinta Tropical,Puerto Viejo,services,Stefany Escobar,,Stefany Escobar,0,1
3948210368762528971,"Las Palomas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,laspalomascr.com; Incluye desayuno; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,Incluye desayuno; Wi-Fi gratis; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,laspalomascr.com,11,1
1889608973525699671,Lavandería La Estrella,Puerto Viejo,services,Lavandería / Laundry Sweet Calypso; Jungle Laundry,,Lavandería / Laundry Sweet Calypso; Jungle Laundry,0,2
811731149839330623,"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,"Incluye Wi-Fi y estacionamiento; Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi; Physis Caribbean Bed & Breakfast Hotel","Incluye Wi-Fi y estacionamiento; Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi",Physis Caribbean Bed & Breakfast Hotel,3,1
18001671055676159782,Madre Tierra,Puerto Viejo,restaurant,Espagueti,,Espagueti,0,1
7812100596306456251,"Manzanillo Caribbean Resort - Manzanillo, Limón, Costa Rica",Manzanillo,hotel,Incluye desayuno; Poolside | Beach Access | Walk to Dining; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,Incluye desayuno; Wi-Fi gratis; Desayuno; Estacionamiento gratuito; Accesible; Piscina al aire libre; Aire acondicionado; Se permiten mascotas; Cocina en todas las habitaciones; Transporte desde/hacia el aeropuerto; Gimnasio,Poolside | Beach Access | Walk to Dining,11,1
2811947477184958270,"Maxi's Restaurant - Manzanillo, Limón, Costa Rica",Manzanillo,restaurant,Incluye Wi-Fi y estacionamiento; Poolside | Beach Access | Walk to Dining,Incluye Wi-Fi y estacionamiento,Poolside | Beach Access | Walk to Dining,1,1
5529719550027810747,Mendez Barber Shop,Puerto Viejo,services,Méndez BarberShop #1; Barbería; Caroni barbershop; Barbershop,,Méndez BarberShop #1; Barbería; Caroni barbershop; Barbershop,0,4
15075381955885778012,Caribbean Blue Morpho Casitas,Playa Negra,vacation_rental,"Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi y estacionamiento; Casa Naranja El Jardin 6 Pax","Incluye desayuno, Wi-Fi y estacionamiento; Incluye Wi-Fi y estacionamiento",Casa Naranja El Jardin 6 Pax,2,1
18141110668997261824,Namu Garden Hotel and Spa,Puerto Viejo,hotel,Namu Garden Hotel & Spa; Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio; Bar,Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio; Bar,Namu Garden Hotel & Spa,11,1
18141110668997261824,Namu Garden Hotel and Spa,Puerto Viejo,hotel,Namu Garden Hotel & Spa; Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio; Bar,Desayuno incluido; Wi-Fi gratis; Estacionamiento gratuito; Piscina al aire libre; Aire acondicionado; Centro de negocios; Se permiten mascotas; Transporte desde/hacia el aeropuerto; Spa; Gimnasio; Bar,Namu Garden Hotel & Spa,11,1
8398495366730310888,Nanku,Puerto Viejo,restaurant,Rápido en traer desayuno 5 minutos,,Rápido en traer desayuno 5 minutos,0,1
18191801259759644864,"Octo Salon - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,services,Octo Salon & Spa,,Octo Salon & Spa,0,1
10525434517969119413,Old Harbour Gym,Puerto Viejo,services,Gimnasio; aire acondicionado; wifi; Beach Gym; Jhosmar Gym,Gimnasio; aire acondicionado; wifi,Beach Gym; Jhosmar Gym,3,2
3738318817422763383,La Paloma Studio en Coclès con cocina a,Playa Negra,restaurant,Bed & Breakfast; Cocina; terraza; Maryel Barrantes,Bed & Breakfast; Cocina; terraza,Maryel Barrantes,3,1
