business_name,area,category
Abba Home,Puerto Viejo,restaurant
ALMA Masajes,Playa Negra,wellness
Alojamiento kon-tiky,Playa Negra,vacation_rental
Api-Rescate,Cocles,restaurant
Ariel Apartment's,Playa Negra,vacation_rental
Arrecife El Chino,Puerto Viejo,restaurant
Beach Trail,Playa Negra,restaurant
Beauty Ritual Spa,Cocles,wellness
BERACA,Puerto Viejo,restaurant
Blessed Hands Massage Therapy,Playa Negra,wellness
Blue Dreams Hotel,Playa Negra,hotel
Buddy's Sloth Crossing,Puerto Viejo,restaurant
Bugambilia Inn,Playa Negra,hotel
Cabañas KiaMiMi,Puerto Viejo,hotel
Cabina trepazul,Playa Negra,vacation_rental
Cabinas Bambu,Playa Negra,hotel
Cabinas Yemanya,Playa Negra,hotel
Café Jaguar & Art Gallery,Cocles,restaurant
Caribbean Blue Morpho Casitas,Playa Negra,vacation_rental
Caribbean Hill Villas,Cocles,hotel
CaribeZen,Playa Negra,restaurant
Casa Alegra,Playa Negra,restaurant
Casa Alegre,Playa Negra,restaurant
Casa Amma,Playa Negra,restaurant
Casa Amor,Playa Negra,restaurant
Casa Antorcha,Cocles,restaurant
Casa Canopy,Cocles,restaurant
Casa Chilamate Day House,Playa Negra,restaurant
Casa del Caribe B&B,Playa Negra,hotel
Casa Lily,Cocles,restaurant
Casa Miluca,Playa Negra,restaurant
Casa Miluco,Playa Negra,restaurant
Casa Olingo,Playa Negra,restaurant
Casa Pallaita,Playa Negra,restaurant
Casa Palliata,Playa Negra,restaurant
Casa Shanti,Cocles,restaurant
casa tia zeidy,Playa Negra,restaurant
Casa vacacional happy day beach house,Puerto Viejo,restaurant
Casa Vosi,Playa Negra,restaurant
Casas Sloth & Butterfly,Playa Negra,restaurant
Casita Tucan,Cocles,hotel
Casitas Batsú,Cocles,vacation_rental
Casitas del Bosque,Puerto Viejo,hotel
CHOCORART,Puerto Viejo,shopping
Cirrus Sky Paragliding CR,Playa Negra,restaurant
Cubali Beach,Playa Negra,restaurant
Doctah Herbalist,Cocles,restaurant
Explora Caribe CR,Playa Negra,restaurant
Finca Darai,Cocles,restaurant
FISIOTERAPIA Agustin cuya,Cocles,restaurant
Fruit Houses,Cocles,hotel
Global Stones finca conservación,Cocles,restaurant
Hawaiian Massage,Playa Negra,wellness
Hidden Viewpoint,Playa Negra,restaurant
Hospedaje Dos Sueños,Puerto Viejo,hotel
Hotel Rustika Lodge,Puerto Viejo,hotel
Iglesia Cristiana Casa De Restauracion,Cocles,restaurant
Izzy Rides CR,Cocles,restaurant
Jungalow,Puerto Viejo,restaurant
Jungla del Caribeño,Playa Negra,restaurant
Ké Luxury Caribbean,Playa Negra,restaurant
Ka Namu,Playa Negra,restaurant
Katuk,Playa Negra,restaurant
La Caracola,Playa Negra,restaurant
LA CHASCONA,Playa Negra,restaurant
La loma de burrito,Playa Chiquita,restaurant
La Paloma Studio en Coclé con cocina a,Playa Negra,restaurant
Lapaluna,Puerto Viejo,restaurant
Mishka Lodge,Playa Negra,hotel
Nana's Place Beach House,Playa Chiquita,restaurant
NAO,Playa Negra,restaurant
Paraiso Bohemio,Puerto Viejo,restaurant
Pipa's Beach,Puerto Viejo,restaurant
Playa Estiven,Playa Negra,restaurant
Pure Life Sanctuary,Cocles,restaurant
Quinta Guarumo,Playa Negra,restaurant
RETIRO VERDE,Cocles,restaurant
Rico Tico Tours,Puerto Viejo,restaurant
Rio Home,Playa Negra,restaurant
River Box Cocles,Playa Negra,restaurant
Shenanigans Eat Drink Dink Drive,Cocles,restaurant
Shenanigans Fat Drink Dink Drive,Playa Negra,restaurant
Siren Sanctuary,Cocles,restaurant
Sloth Massage,Puerto Viejo,wellness
Soda Títeres,Cocles,restaurant
Spiral,Puerto Viejo,restaurant
Talamanca Organica Cacao & Fine Chocolate,Cocles,restaurant
Talamanca Viewpoint,Puerto Viejo,restaurant
Tattoo Studio 33,Puerto Viejo,restaurant
The Amazing Treehouse and Nature,Playa Negra,restaurant
The Reillder Castillo Project,Puerto Viejo,restaurant
TreeTop Mansion,Playa Negra,restaurant
TRIBU functional training,Puerto Viejo,restaurant
Jungalow Tropical Caribeño,Cocles,restaurant
Tropical Getaway "Casa de Amor,Cocles,hotel
Tropical Getaway "Dream House",Playa Negra,restaurant
Tubolwak Lodge y Garden,Cocles,hotel
Villa Cerise,Playa Negra,hotel
Villa Kandulu,Playa Negra,hotel
Villa Khalé,Puerto Viejo,hotel
Villa Miagoa,Cocles,hotel
Villa Selva Luna,Cocles,hotel
Villa Tropical,Playa Negra,hotel
Villas caranda,Puerto Viejo,hotel
Villas Moonlight,Playa Negra,hotel
Vindas,Playa Negra,restaurant
