tier,suggested_group,business_name,category,area,google_maps_cid,current_groups,matched_field,matched_label,evidence,match_count
identity,nightlife,"Asante Bistro & Café - Cahuita, Limón, Costa Rica",restaurant,Cahuita,16025283821069438745,eat,cuisine,cocktail,«Cocktail»,1
identity,nightlife,"Colores Restaurant and Beach Lounge - Manzanillo, Limón, Costa Rica",restaurant,Manzanillo,3520970534557309146,eat,name,lounge,"Colores Restaurant and Beach «Lounge» - Manzanillo, Limón, Costa Rica",1
identity,nightlife,"Da Lime Beach Club and Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,5875257995302760665,eat,name,beach club,"Da Lime «Beach Club» and Restaurant - Playa Chiquita, Puerto...",1
identity,nightlife,"El Refugio Grill - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",restaurant,Punta Uva,17060511891850618747,eat,name,grill house,"El Refugio «Grill» - Playa Punta Uva, Puerto Viejo, Limón,...",1
identity,nightlife,El Sendero Beach Club,restaurant,Puerto Viejo,11811768080109070447,eat,name,beach club,El Sendero «Beach Club»,1
identity,nightlife,"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,10844386752467925201,eat,name,cantina,"Tasty Waves «Cantina» - Playa Cocles, Puerto Viejo, Limón, Co...",1
identity,nightlife,Vol'Air Dance Studio,services,Puerto Viejo,12543675730712426029,services,name,dancing,Vol'Air «Dance» Studio,1
identity,eat,"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,8816532573875491055,stay,cuisine,restaurant,«Restaurante» mexicano,1
identity,eat,"Soda y Cabinas Kaniki - Gandoca, Limón, Costa Rica",hotel,Gandoca,1916707872062639626,stay,name,food service,"«Soda» y Cabinas Kaniki - Gandoca, Limón, Cost...",1
identity,eat,Totem Hotel Resort & Restaurant,hotel,Cocles,1478870326467382969,stay,name,restaurant,Totem Hotel Resort & «Restaurant»,1
identity,stay,La Casita de Monli,restaurant,Puerto Viejo,17125108004029582358,eat,name,vacation rental,La «Casita» de Monli,1
identity,stay,The Amazing Treehouse and Nature,restaurant,Playa Negra,11842476449595104705,eat,name,rooms/resort,The Amazing «Treehouse» and Nature,1
identity,things-to-do,"Big Tree Wildlife Refuge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,5233367816302543964,stay,name,wildlife,"Big Tree «Wildlife» Refuge - Playa Punta Uva, Puerto Viejo,...",1
identity,things-to-do,"Black Shack Surf School - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,11736483113495327139,services,name,surf,"Black Shack «Surf» School - Playa Cocles, Puerto Viejo, Li...",2
identity,things-to-do,"Cabinas Surf Side - Cahuita, Limón, Costa Rica",hotel,Cahuita,11022406936380395131,stay,name,surf,"Cabinas «Surf» Side - Cahuita, Limón, Costa Rica",1
identity,things-to-do,"Cahuita National Park Hotel - Cahuita, Limón, Costa Rica",hotel,Cahuita,400977826922741375,stay,name,hiking/nature,"Cahuita «National Park» Hotel - Cahuita, Limón, Costa Rica",1
identity,things-to-do,Casa Canopy,vacation_rental,Playa Chiquita,9228433576839534036,stay,name,adventure,Casa «Canopy»,1
identity,things-to-do,"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,1693592634910607224,stay,name,hiking/nature,"La Ceiba «Nature Reserve» - Playa Punta Uva, Puerto Viejo, Limón,...",1
identity,things-to-do,"Papaya Wildlife Lodge - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,304180330543571100,stay,name,wildlife,"Papaya «Wildlife» Lodge - Cahuita, Limón, Costa Rica",1
identity,things-to-do,Rico Tico Tours,restaurant,Puerto Viejo,1177355124524067687,eat,name,tours,Rico Tico «Tours»,1
identity,things-to-do,"Roberto's Restaurant and Tours - Cahuita, Limón, Costa Rica",restaurant,Cahuita,5842569498936371106,eat,name,tours,"Roberto's Restaurant and «Tours» - Cahuita, Limón, Costa Rica",1
identity,things-to-do,Spanish School Pura Vida,services,Puerto Viejo,15049167550943815650,services,name,classes,Spanish «School» Pura Vida,1
identity,things-to-do,"Surf Meds Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,3144025592942935764,services,name,surf,"«Surf» Meds Caribe - Playa Cocles, Puerto Viej...",1
identity,things-to-do,Surf the Jungle Surf School Adventures,services,Puerto Viejo,14229054643032701360,services,name,surf,«Surf» the Jungle Surf School Adventures,3
identity,things-to-do,"Tarponville Fishing Lodge - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,4106444293730751001,stay,name,fishing,"Tarponville «Fishing» Lodge - Manzanillo, Limón, Costa Rica",1
identity,things-to-do,"Tico Surf and Skate - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,1318668082841675164,services,name,surf,"Tico «Surf» and Skate - Playa Cocles, Puerto Viejo,...",1
identity,things-to-do,Vol'Air Dance Studio,services,Puerto Viejo,12543675730712426029,services,name,classes,Vol'Air «Dance Studio»,1
identity,things-to-do,"Wildlife Lodge Cahuita - Cahuita, Limón, Costa Rica",hotel,Cahuita,11172305075992391997,stay,name,wildlife,"«Wildlife» Lodge Cahuita - Cahuita, Limón, Costa R...",1
identity,shopping,"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",hotel,Cahuita,3377722209033140563,stay,name,shop/store,"Casa Firefly «Boutique» Retreat - Cahuita, Limón, Costa Rica",1
identity,shopping,De Gustibus Bakery,restaurant,Puerto Viejo,9034432070677152199,eat,name,goods,De Gustibus «Bakery»,1
identity,shopping,Iriria Specialty Coffee Shop,restaurant,Puerto Viejo,17441244772065149373,eat,name,shop/store,Iriria Specialty Coffee «Shop»,1
identity,shopping,Mendez Barber Shop,services,Puerto Viejo,5529719550027810747,services|wellness,name,shop/store,Mendez Barber «Shop»,1
identity,services,Taller Gabriel,shopping,Puerto Viejo,7243082637502018565,shopping,name,repair/auto,«Taller» Gabriel,1
identity,services,Tattoo Studio 33,restaurant,Puerto Viejo,7714062364033594701,eat,name,personal care,«Tattoo» Studio 33,1
identity,wellness,Aloha Skincare and Wellness,services,Puerto Viejo,565813449899308633,services,name,spa/massage,Aloha Skincare and «Wellness»,1
identity,wellness,Ambar Tattoo Space,services,Puerto Viejo,3494255912740671382,services,name,beauty,Ambar «Tattoo» Space,1
identity,wellness,"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,11364781436039210316,stay,name,sanctuary,"Blossom Paradise «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",1
identity,wellness,Caribe Love Tattoo,services,Puerto Viejo,16552705196228924381,services,name,beauty,Caribe Love «Tattoo»,1
identity,wellness,"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",hotel,Cahuita,3377722209033140563,stay,name,sanctuary,"Casa Firefly Boutique «Retreat» - Cahuita, Limón, Costa Rica",1
identity,wellness,"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,6051193694241034944,stay,name,sanctuary,"Chimuri Beach «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",1
identity,wellness,"Dragonfly Beach Retreat - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,16775548705300829933,stay,name,sanctuary,"Dragonfly Beach «Retreat» - Playa Punta Uva, Puerto Viejo, Limón,...",1
identity,wellness,"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,6658711880224661769,stay,name,sanctuary,"Escondido «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",1
identity,wellness,FISIOTERAPIA Agustin cuya,restaurant,Cocles,18425416724501171270,eat,name,mind-body,«FISIOTERAPIA» Agustin cuya,1
identity,wellness,"Kona Wellness Shala - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,11573433909437604022,services,name,spa/massage,"Kona «Wellness» Shala - Playa Cocles, Puerto Viejo, Lim...",1
identity,wellness,"Shiosai Retreat Cabins - Gandoca, Limón, Costa Rica",hotel,Gandoca,2791131175093117206,stay,name,sanctuary,"Shiosai «Retreat» Cabins - Gandoca, Limón, Costa Rica",1
identity,wellness,"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,13462000015508270895,stay,name,sanctuary,"Sonora Jungle «Retreat» - Playa Negra, Puerto Viejo, Limón, Cos...",1
identity,wellness,TRIBU functional training,services,Puerto Viejo,4586270756459627380,services,name,fitness,TRIBU functional «training»,1
identity,wellness,Tattoo Studio 33,restaurant,Puerto Viejo,7714062364033594701,eat,name,beauty,«Tattoo» Studio 33,1
identity,transport,"Cahuita Bus Station - Cahuita, Limón, Costa Rica",tour_company,Cahuita,17472323950177417062,things-to-do,name,bus,"Cahuita «Bus» Station - Cahuita, Limón, Costa Rica",1
identity,transport,Main Bus Stop,tour_company,Puerto Viejo,7826458106781310635,things-to-do,name,bus,Main «Bus» Stop,1
identity,transport,Puerto Viejo Golf Carts,tour_company,Puerto Viejo,4544300389782328912,things-to-do,name,car rental,Puerto Viejo «Golf Carts»,1
identity,transport,"Terminal de Buses Sixaola - Sixaola, Limón, Costa Rica",services,Sixaola,12283987889434351587,services,name,bus,"«Terminal» de Buses Sixaola - Sixaola, Limón, Cost...",1
context,nightlife,"Arrecife Hotel y Restaurante - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",restaurant,Punta Uva,3477422119483013906,eat|stay,description,bar,Restaurant & «bar» right off Punta Uva beach. They also re...,1
context,nightlife,"Awa Beach Boutique Hotel - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,5579537716284560393,stay,description,bar,"...beach. Adults-only accommodation with a «bar», a garden and a terrace. Rooms with A/C...",1
context,nightlife,"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,1284571712904930160,stay,description,bar,"... deck & cable TV.  Pool, restaurant and «bar». 4.5 / 5 rating on Google Maps  4.2 / 5...",1
context,nightlife,BOA Coworking,restaurant,Puerto Viejo,9729510481461644038,eat,description,pub,...upstairs from Green Jaguar Irish Gastro «Pub» but with a separate food menu which is ...,2
context,nightlife,"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,3301165288581347626,stay,description,bar,"...s over age of 16 and offers restaurant, «bar», pool and tour kiosk. Beach views, trop...",1
context,nightlife,"Beach Break Restaurant - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,10536491158093405826,eat,description,bar,Restaurant and «bar» right across from Cocles Beach as well ...,1
context,nightlife,Bloom Cafe & Donas,restaurant,Puerto Viejo,3622931891880684663,eat,description,cocktail,...space becomes Bloom Nocturno with craft «cocktails».,1
context,nightlife,Blue Dreams Hotel,hotel,Playa Negra,7864989313907649296,stay,description,bar,Blue Dreams Hotel provides «bar» accommodations in Puerto Viejo.,1
context,nightlife,"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,11219479455997326756,stay,description,lounge,...ho with fully equipped shared kitchen & «lounge»/dining area.,1
context,nightlife,Cabinas Monte Sol,hotel,Puerto Viejo,10951227846186482107,stay,description,bar,"...itchen, terrace and TV. Open air lounge/«bar» area with a relaxed vibe for all guests...",2
context,nightlife,Cacao Huasi,restaurant,Puerto Viejo,1242408439996904931,eat,description,cocktail,"Chocolate classes, restaurant and «cocktails»",1
context,nightlife,"Caribe Town Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,16161533908681591225,stay,description,bar,"...ed in onsite rentals. Pool with swim-up «bar», waterfall and Jacuzzi jets, bike renta...",1
context,nightlife,"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,14658668036585456092,stay,description,bar,... La Jungla restaurant and drinks at the «bar». If you're not a guest here you can buy...,1
context,nightlife,"Cervecera Tierra y Libertad - Hone Creek, Limón, Costa Rica",shopping,Hone Creek,18282199755586445336,shopping,description,brewery/taproom,...Available in several locations locally. «Brewery» tours by appointment.,1
context,nightlife,Chaman Mercadito,restaurant,Puerto Viejo,2968574655178095232,eat,description,nightclub/disco,"...ts several businesses including coffee, «nightclub» and restaurant.",1
context,nightlife,"Chao's Paradise - Cahuita, Limón, Costa Rica",restaurant,Cahuita,15813957405519010877,eat,description,bar,"...aradise - Cahuita, Limón, Costa Rica, a «bar» in Cahuita. Open now.",1
context,nightlife,Chile Rojo,restaurant,Puerto Viejo,2449275981368445735,eat,description,bar,Thai and asian fusion restaurant. Sushi «bar». Many vegetarian and vegan options incl...,1
context,nightlife,DiTown Shop,shopping,Puerto Viejo,10112276568951936836,shopping,description,bar,"Surf shop and coffee «bar». Beachwear, full espresso bar and food.",1
context,nightlife,El Clan Hostel,hostel,Puerto Viejo,5201679489523559249,stay,description,bar,"Hostel and hotel with pool and «bar». Accommodation options include dorms, p...",1
context,nightlife,"El Nido Jungle Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,17996754399669659267,stay,description,bar,"...a king sized bed, a kitchen with eating «bar», a TV/DVD, a sofa bed and a large priva...",1
context,nightlife,"El Rincon Porteño - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,12004515342485209052,eat,description,grill house,"Argentinian restaurant. «Grill», pizza, pasta, hamburgers.",1
context,nightlife,Escape Caribeño,hotel,Puerto Viejo,11151339976601146455,stay,description,bar,"...sa Brava. All with TV, A/C, Wi-Fi, mini «bar», safe box.",1
context,nightlife,Exotic Lodge,hotel,Puerto Viejo,8353070716309943884,stay,description,bar,...binas with private bath. Restaurant and «bar». Previously named Morpheus Exotica Lodg...,1
context,nightlife,"Gigi Beach - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,6039954764509566896,eat,description,beach club,Restaurant and «beach club» on the beach at Playa Cocles. Hang out ...,1
context,nightlife,Gigi O Restaurant,restaurant,Puerto Viejo,4732141069441829785,eat,description,bar,"Restaurant, bakery, «bar», café, art gallery, museum, and live mu...",2
context,nightlife,"Green Jungle House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,10566257576749882719,stay,description,lounge,"...Property has shared kitchen, BBQ and TV «lounge».  They also offer Ceibo Adventure on th...",1
context,nightlife,Grow Beachfront Restaurant,restaurant,Puerto Viejo,11456769578958313273,eat,description,bar,"Beachfront vegetarian restaurant and «bar». Serves breakfast, lunch, and dinner fr...",1
context,nightlife,"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,5319096016576692772,stay,description,beach club,"...bedroom, two bedrooms or five bedrooms. «Beach club», restaurant  and yoga salon on site. 4....",1
context,nightlife,"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,10932123085080779411,stay,description,bar,"...V, A/C, swimming pool, sauna, internet, «bar», solarium, massage, laundry service. 4....",1
context,nightlife,"Hotel Hawa - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,12922727533389204233,stay,description,bar,"...bath bungalow is available. Restaurant, «Bar».",1
context,nightlife,"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,2789448993779357106,stay,description,bar,"...A/C, private bath. Kasha Restaurant and «Bar» onsite.",1
context,nightlife,Hotel and Hostel Agapi,hostel,Puerto Viejo,7492180577056289429,stay,description,bar,"...ms and private rooms. Pool, restaurant, «bar», hot showers, common kitchen, yoga clas...",1
context,nightlife,"Hungry Lion's Jamaican Restaurant - Cahuita, Limón, Costa Rica",restaurant,Cahuita,7931758129028338854,eat,description,bar,"...urant - Cahuita, Limón, Costa Rica is a «bar» in Cahuita.",1
context,nightlife,Johnny's Place,restaurant,Puerto Viejo,3484755376915308939,eat,description,bar,Beachfront «bar» which has been a fixture of the Puerto ...,1
context,nightlife,KOKi Beach,restaurant,Puerto Viejo,94575443808973745,eat,description,bar,Beach front «Bar» and Restaurant. Latin Fusion food. Over...,1
context,nightlife,Ka Namu,restaurant,Playa Negra,4776029185661119925,eat,description,bar,Ka Namu is a «bar» in Puerto Viejo.,1
context,nightlife,"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,8816532573875491055,stay,description,bar,"...to suites to cabins. Onsite restaurant, «bar» and micro-craft brewery. Hotel also cal...",2
context,nightlife,"La Kukula Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",hotel,Playa Chiquita,12131830785097631441,stay,description,bar,"... include free breakfast, swimming-pool, «bar», free wifi, parking, laundry, desk for ...",1
context,nightlife,Madre Tierra,restaurant,Puerto Viejo,18001671055676159782,eat,description,bar,"Cocktails, restaurant and «bar». Variety of food including Caribbean, L...",2
context,nightlife,"Mixta Comida y Cócteles - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Chiquita,14864163845916515215,eat,description,cocktail,...tortillas. Excellent tequila and mezcal «cocktails». Relaxed vibe with eclectic playlist.,1
context,nightlife,Namu Garden Hotel and Spa,hotel,Puerto Viejo,18141110668997261824,stay|wellness,description,bar,"...te pools. Spa. NÚM restaurant, café and «bar». 4.6 / 5 rating on Google Maps  9.1 / 1...",1
context,nightlife,Nanku,restaurant,Puerto Viejo,8398495366730310888,eat,description,cocktail,"...ast, lunch and dinner. Espresso drinks, «cocktails» and a wide variety of food offers. Loca...",1
context,nightlife,"Physis Caribbean Bed & Breakfast - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,6927648870562475588,stay,description,lounge,"... garden and fountain. In the relaxation/«lounge» area, there is TV along with multiple h...",1
context,nightlife,"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,14615341747601449576,stay,description,brewery/taproom,...ts. Shared kitchen. Sage restaurant and «beer garden» is here which is available to non guest...,1
context,nightlife,Puerto Pirata,restaurant,Puerto Viejo,15140435167806983758,eat,description,bar,...king the sea. Evenings becomes the Tiki «Bar» with cocktail specials. Menu has vegeta...,2
context,nightlife,Puerto Viejo Golf Carts,tour_company,Puerto Viejo,4544300389782328912,things-to-do,description,bar,...splay outside Cafe Viejo or Restaurante «Bar» Tamara but you will need to contact the...,1
context,nightlife,"Reggae Chill - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,15379756172704945472,eat,description,bar,Relaxed restaurant and «bar» directly across from Cocles beach. Brea...,1
context,nightlife,Rocking J's Hostel,hostel,Puerto Viejo,2849080077759072513,stay,description,bar,"... dorms, hammocks and tents. Restaurant, «bar», tour desk and surf school on site. 4.0...",1
context,nightlife,SOCA Restaurant,restaurant,Puerto Viejo,12232799133081119632,eat,description,bar,...in a stylish space.  Extensive cocktail/«bar» selection.,2
context,nightlife,"Saranda Hotel Boutique - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,7564004912244932325,stay,description,bar,"... and some with shared bath. Restaurant, «bar», pool. 4.7 / 5 rating on Google Maps  9...",1
context,nightlife,Stashu's Con Fusion,restaurant,Puerto Viejo,12889418516397438139,eat,description,live music,"Fusion food restaurant with «live music». Caribbean, Mediterranean and Asian fla...",1
context,nightlife,"Sushi Wave - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,18334594677246073631,eat,description,bar,Sushi «bar» located at Cariblue Beach and Jungle Re...,1
context,nightlife,Sweet Moments,restaurant,Puerto Viejo,561223372813398582,eat,description,bar,Espresso «bar» and ice cream,1
context,nightlife,"Talamanca Chocolate - Playa Negra, Puerto Viejo, Limón, Costa Rica",tour_company,Playa Negra,,things-to-do,description,bar,"Learn the entire process from tree to «bar», making chocolate from scratch: roastin...",1
context,nightlife,"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hostel,Cocles,8755282126859435083,stay,description,bar,...rinking water and communal kitchen use. «Bar»/restaurant Tasty Waves Cantina on site....,2
context,nightlife,"Villa Abejita - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,17566723912022559610,stay,description,grill house,"...h-speed satellite WiFi, workspaces, gas «grill», well-provided kitchen, secure parking ...",1
context,nightlife,"Villa Laurel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,7902224320478214928,stay,description,beach club,"...50 m), the nearby five-star hotel has a «beach club». The house is beautifully offset from t...",1
context,nightlife,"Villa del Mito - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,3772885646337615062,stay,description,grill house,"...ls. Outside is a covered patio with gas «grill» and large dining table, and an outdoor ...",1
context,nightlife,"Villas Banana Verde - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,3491417544238941664,stay,description,beach club,"...l offers including pool, restaurant and «beach club». 4.8 / 5 rating on Google Maps  8.3 / 1...",1
context,nightlife,Washboard,services,Puerto Viejo,8840035579056537434,services,description,bar,"Cafe, laundromat and «bar», providing self-service machines where ...",2
context,eat,"Alloro Jungle Villas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,2659428566815974857,stay,description,cafe,"... equipped with microwave oven, toaster, «coffee »machine and blender. 4.9 / 5 rating on G...",2
context,eat,"Aloki Village - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,11129113619647704846,stay,description,food service,"...ople in each villa. The villas have AC, «kitchen» and private parking.",1
context,eat,Amimodo Beach Rooms,hotel,Puerto Viejo,5872176730909991811,stay,description,restaurant,...n apartment with kitchen at the Amimodo «Restaurant».,2
