business_name,category,area,google_maps_cid,group_nightlife,group_eat,group_stay,group_things-to-do,group_shopping,group_services,group_wellness,group_transport,current_groups,potential_groups
Amimodo Beach Rooms,hotel,Puerto Viejo,5872176730909991811,,context,current,,,,,,stay,stay
Black Bamboo,hotel,Puerto Viejo,9649993079907777710,,context,current,,,,,,stay,stay
Bungalows Calalú,hotel,Puerto Viejo,1614163454683628928,,context,current,,,,context,,stay,stay
Cabinas Los Almendros,hotel,Puerto Viejo,11326919937828667471,,,current,,,,,,stay,stay
Cabinas Guarana,hotel,Puerto Viejo,3227485566230734531,,,current,,,,,,stay,stay
Cabinas Jacaranda,hotel,Puerto Viejo,12370139056940041503,,context,current,context,,context,context,,stay,stay
Cabinas Lika,hotel,Puerto Viejo,1111954385529331281,,,current,,,,,,stay,stay
Cabinas Mitchaelles,hotel,Puerto Viejo,13327167442180512504,,,current,context,,,,,stay,stay
Cabinas Monte Sol,hotel,Puerto Viejo,10951227846186482107,context,context,current,,,,,,stay,stay
Cabinas Mor,hotel,Puerto Viejo,13919554959587676121,,,current,,,,,,stay,stay
Cabinas Popular,hotel,Puerto Viejo,975506958424374718,,,current,,,,,,stay,stay
Cabinas Talamanca,hotel,Puerto Viejo,1496101248030016772,,context,current,,,,,,stay,stay
Casa Ana Kimba,hotel,Puerto Viejo,13823455026627310391,,,current,,,,,,stay,stay
Casa Bohö,hotel,Puerto Viejo,8284218495825622354,,,current,,,,,,stay,stay
La Casa de Rolando,hotel,Puerto Viejo,1261667056997797786,,context,current,,,,,,stay,stay
Casa Dolce Vita,hotel,Puerto Viejo,1282335974102907594,,context,current,,,,,,stay,stay
Casitas La Playa,hotel,Puerto Viejo,8798809940588504560,,context,current,,,,,,stay,stay
Chinuk Boutique Hotel,hotel,Puerto Viejo,4032204592829800059,,context,current,,,,,,stay,stay
Conga Boutique Hotel,hotel,Puerto Viejo,17817187932984436803,,context,current,,,,,,stay,stay
Escape Caribeño,hotel,Puerto Viejo,11151339976601146455,context,,current,,,,,,stay,stay
Exotic Lodge,hotel,Puerto Viejo,8353070716309943884,context,context,current,,,,,,stay,stay
Family Hotel,hotel,Puerto Viejo,16910431421739661204,,,current,,,,,,stay,stay
Hostal Cecilia,hotel,Puerto Viejo,11938523891103686222,,context,current,,,,,,stay,stay
Hotel Casa Vito,hotel,Puerto Viejo,9002517690753030013,,context,current,,,,,,stay,stay
Hotel Infiniti,hotel,Puerto Viejo,17030940291864121871,,context,current,,,,,,stay,stay
Hotel Mandacarú,hotel,Puerto Viejo,11442698979892556145,,context,current,,,context,context,,stay,stay
Hotel Pura Vida,hotel,Puerto Viejo,5253894431951431984,,,current,,,,,,stay,stay
Hotel Tropical,hotel,Puerto Viejo,7969394138081997689,,,current,,,,,,stay,stay
Indalo Hotel Boutique,hotel,Puerto Viejo,4424059130614434174,,,current,,,,,,stay,stay
Lizard King Hotel,hotel,Puerto Viejo,11779773565011173435,,,current,,,,,,stay,stay
Maritza Hotel,hotel,Puerto Viejo,7612264151773034204,,context,current,,,,,,stay,stay
Namu Garden Hotel and Spa,hotel,Puerto Viejo,18141110668997261824,context,context,current,,,,current,,stay|wellness,stay|wellness
Olinca Boutique Hotel,hotel,Puerto Viejo,17724938072232701259,,context,current,context,,,,,stay,stay
Sueño Grande Bed and Breakfast,hotel,Puerto Viejo,5641578059331896840,,context,current,,,,,,stay,stay
La Tica y La Gata,hotel,Puerto Viejo,11047054352277007542,,context,current,,,,,,stay,stay
Umami Hotel Garden Spa,hotel,Puerto Viejo,9701222676819002481,,context,current,,,,current,,stay|wellness,stay|wellness
Yucca Beachfront Hotel,hotel,Puerto Viejo,6124202353518117731,,context,current,,,,,,stay,stay
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,3301165288581347626,context,context,current,context,,,,,stay,stay
"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,11219479455997326756,context,context,current,,,,,,stay,stay
