business_name,google_search,google_maps
"Asante Bistro & Café - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Asante%20Bistro%20%26%20Caf%C3%A9%20Cahuita,https://www.google.com/maps?cid=16025283821069438745
"Colores Restaurant and Beach Lounge - Manzanillo, Limón, Costa Rica",https://www.google.com/search?q=Colores%20Restaurant%20and%20Beach%20Lounge%20Manzanillo,https://www.google.com/maps?cid=3520970534557309146
"Da Lime Beach Club and Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Da%20Lime%20Beach%20Club%20and%20Restaurant%20Playa%20Chiquita,https://www.google.com/maps?cid=5875257995302760665
"El Refugio Grill - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=El%20Refugio%20Grill%20Punta%20Uva,https://www.google.com/maps?cid=17060511891850618747
El Sendero Beach Club,https://www.google.com/search?q=El%20Sendero%20Beach%20Club%20Puerto%20Viejo,https://www.google.com/maps?cid=11811768080109070447
"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Tasty%20Waves%20Cantina%20Cocles,https://www.google.com/maps?cid=10844386752467925201
Vol'Air Dance Studio,https://www.google.com/search?q=Vol%27Air%20Dance%20Studio%20Puerto%20Viejo,https://www.google.com/maps?cid=12543675730712426029
"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Kaya%27s%20Place%20Playa%20Negra,https://www.google.com/maps?cid=8816532573875491055
"Soda y Cabinas Kaniki - Gandoca, Limón, Costa Rica",https://www.google.com/search?q=Soda%20y%20Cabinas%20Kaniki%20Gandoca,https://www.google.com/maps?cid=1916707872062639626
Totem Hotel Resort & Restaurant,https://www.google.com/search?q=Totem%20Hotel%20Resort%20%26%20Restaurant%20Cocles,https://www.google.com/maps?cid=1478870326467382969
La Casita de Monli,https://www.google.com/search?q=La%20Casita%20de%20Monli%20Puerto%20Viejo,https://www.google.com/maps?cid=17125108004029582358
The Amazing Treehouse and Nature,https://www.google.com/search?q=The%20Amazing%20Treehouse%20and%20Nature%20Playa%20Negra,https://www.google.com/maps?cid=11842476449595104705
"Big Tree Wildlife Refuge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Big%20Tree%20Wildlife%20Refuge%20Punta%20Uva,https://www.google.com/maps?cid=5233367816302543964
"Black Shack Surf School - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Black%20Shack%20Surf%20School%20Cocles,https://www.google.com/maps?cid=11736483113495327139
"Cabinas Surf Side - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Cabinas%20Surf%20Side%20Cahuita,https://www.google.com/maps?cid=11022406936380395131
"Cahuita National Park Hotel - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Cahuita%20National%20Park%20Hotel%20Cahuita,https://www.google.com/maps?cid=400977826922741375
Casa Canopy,https://www.google.com/search?q=Casa%20Canopy%20Playa%20Chiquita,https://www.google.com/maps?cid=9228433576839534036
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=La%20Ceiba%20Nature%20Reserve%20Punta%20Uva,https://www.google.com/maps?cid=1693592634910607224
"Papaya Wildlife Lodge - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Papaya%20Wildlife%20Lodge%20Cahuita,https://www.google.com/maps?cid=304180330543571100
Rico Tico Tours,https://www.google.com/search?q=Rico%20Tico%20Tours%20Puerto%20Viejo,https://www.google.com/maps?cid=1177355124524067687
"Roberto's Restaurant and Tours - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Roberto%27s%20Restaurant%20and%20Tours%20Cahuita,https://www.google.com/maps?cid=5842569498936371106
Spanish School Pura Vida,https://www.google.com/search?q=Spanish%20School%20Pura%20Vida%20Puerto%20Viejo,https://www.google.com/maps?cid=15049167550943815650
"Surf Meds Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Surf%20Meds%20Caribe%20Cocles,https://www.google.com/maps?cid=3144025592942935764
Surf the Jungle Surf School Adventures,https://www.google.com/search?q=Surf%20the%20Jungle%20Surf%20School%20Adventures%20Puerto%20Viejo,https://www.google.com/maps?cid=14229054643032701360
"Tarponville Fishing Lodge - Manzanillo, Limón, Costa Rica",https://www.google.com/search?q=Tarponville%20Fishing%20Lodge%20Manzanillo,https://www.google.com/maps?cid=4106444293730751001
"Tico Surf and Skate - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Tico%20Surf%20and%20Skate%20Cocles,https://www.google.com/maps?cid=1318668082841675164
Vol'Air Dance Studio,https://www.google.com/search?q=Vol%27Air%20Dance%20Studio%20Puerto%20Viejo,https://www.google.com/maps?cid=12543675730712426029
"Wildlife Lodge Cahuita - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Wildlife%20Lodge%20Cahuita%20Cahuita,https://www.google.com/maps?cid=11172305075992391997
"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Casa%20Firefly%20Boutique%20Retreat%20Cahuita,https://www.google.com/maps?cid=3377722209033140563
De Gustibus Bakery,https://www.google.com/search?q=De%20Gustibus%20Bakery%20Puerto%20Viejo,https://www.google.com/maps?cid=9034432070677152199
Iriria Specialty Coffee Shop,https://www.google.com/search?q=Iriria%20Specialty%20Coffee%20Shop%20Puerto%20Viejo,https://www.google.com/maps?cid=17441244772065149373
Mendez Barber Shop,https://www.google.com/search?q=Mendez%20Barber%20Shop%20Puerto%20Viejo,https://www.google.com/maps?cid=5529719550027810747
Taller Gabriel,https://www.google.com/search?q=Taller%20Gabriel%20Puerto%20Viejo,https://www.google.com/maps?cid=7243082637502018565
Tattoo Studio 33,https://www.google.com/search?q=Tattoo%20Studio%2033%20Puerto%20Viejo,https://www.google.com/maps?cid=7714062364033594701
Aloha Skincare and Wellness,https://www.google.com/search?q=Aloha%20Skincare%20and%20Wellness%20Puerto%20Viejo,https://www.google.com/maps?cid=565813449899308633
Ambar Tattoo Space,https://www.google.com/search?q=Ambar%20Tattoo%20Space%20Puerto%20Viejo,https://www.google.com/maps?cid=3494255912740671382
"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Blossom%20Paradise%20Retreat%20Playa%20Negra,https://www.google.com/maps?cid=11364781436039210316
Caribe Love Tattoo,https://www.google.com/search?q=Caribe%20Love%20Tattoo%20Puerto%20Viejo,https://www.google.com/maps?cid=16552705196228924381
"Casa Firefly Boutique Retreat - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Casa%20Firefly%20Boutique%20Retreat%20Cahuita,https://www.google.com/maps?cid=3377722209033140563
"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Chimuri%20Beach%20Retreat%20Playa%20Negra,https://www.google.com/maps?cid=6051193694241034944
"Dragonfly Beach Retreat - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Dragonfly%20Beach%20Retreat%20Punta%20Uva,https://www.google.com/maps?cid=16775548705300829933
"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Escondido%20Retreat%20Playa%20Negra,https://www.google.com/maps?cid=6658711880224661769
FISIOTERAPIA Agustin cuya,https://www.google.com/search?q=FISIOTERAPIA%20Agustin%20cuya%20Cocles,https://www.google.com/maps?cid=18425416724501171270
"Kona Wellness Shala - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Kona%20Wellness%20Shala%20Cocles,https://www.google.com/maps?cid=11573433909437604022
"Shiosai Retreat Cabins - Gandoca, Limón, Costa Rica",https://www.google.com/search?q=Shiosai%20Retreat%20Cabins%20Gandoca,https://www.google.com/maps?cid=2791131175093117206
"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",https://www.google.com/search?q=Sonora%20Jungle%20Retreat%20Playa%20Negra,https://www.google.com/maps?cid=13462000015508270895
TRIBU functional training,https://www.google.com/search?q=TRIBU%20functional%20training%20Puerto%20Viejo,https://www.google.com/maps?cid=4586270756459627380
Tattoo Studio 33,https://www.google.com/search?q=Tattoo%20Studio%2033%20Puerto%20Viejo,https://www.google.com/maps?cid=7714062364033594701
"Cahuita Bus Station - Cahuita, Limón, Costa Rica",https://www.google.com/search?q=Cahuita%20Bus%20Station%20Cahuita,https://www.google.com/maps?cid=17472323950177417062
Main Bus Stop,https://www.google.com/search?q=Main%20Bus%20Stop%20Puerto%20Viejo,https://www.google.com/maps?cid=7826458106781310635
Puerto Viejo Golf Carts,https://www.google.com/search?q=Puerto%20Viejo%20Golf%20Carts%20Puerto%20Viejo,https://www.google.com/maps?cid=4544300389782328912
"Terminal de Buses Sixaola - Sixaola, Limón, Costa Rica",https://www.google.com/search?q=Terminal%20de%20Buses%20Sixaola%20Sixaola,https://www.google.com/maps?cid=12283987889434351587
