left_name,left_area,left_category,left_cid,right_name,right_area,right_category,right_cid,name_similarity,distance_m,signals,signal_families,score,classification,left_phone,right_phone,left_whatsapp,right_whatsapp,left_instagram,right_instagram,left_website,right_website,decision,rationale
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,14658668036585456092,Hotel Cariblue,Cocles,hotel,,0.348,142.4,whatsapp|instagram|website,3,9,strong,+50627500518,+50627500035,https://wa.me/50683141965,https://wa.me/50683141965,caribluehotel,caribluehotel,https://cariblue.com/,https://www.cariblue.com/,deterministic_merge,"Same hotel brand, WhatsApp, Instagram, and official website; alias is a generic CID-less hotel record."
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,14658668036585456092,"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,16195237219481974530,0.255,1599.6,whatsapp|instagram|website,3,9,strong,+50627500518,+50627599263,https://wa.me/50683141965,https://wa.me/50683141965,caribluehotel,,https://cariblue.com/,https://cariblue.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,16195237219481974530,Hotel Cariblue,Cocles,hotel,,0.345,1634.0,whatsapp|instagram|website,3,9,strong,+50627599263,+50627500035,https://wa.me/50683141965,https://wa.me/50683141965,,caribluehotel,https://cariblue.com/,https://www.cariblue.com/,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
Río Negro,Cocles,restaurant,9366602319080449218,Rio Home,Playa Negra,restaurant,11653253983798852315,0.588,8.9,instagram|website|within_30m,3,9,strong,+50627500155,+85824000,,,,,https://www.casariocr.com/,https://www.casariocr.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Jaguar Rescue Center - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,tour_company,9435208628058025334,Refugio de animales Jaguar,Cocles,tour_company,,0.261,27.9,phone|instagram|within_30m,3,8,strong,+50627500710,+50627500710,,,jaguarrescuecentercr,jaguarrescuecentercr,,https://www.jaguarrescue.foundation/,deterministic_merge,"Bilingual name variants share phone, Instagram, near-identical location, and organization identity; alias is CID-less."
Namu Garden Hotel and Spa,Puerto Viejo,hotel,18141110668997261824,Ka Namu,Playa Negra,restaurant,4776029185661119925,0.250,0.0,whatsapp|instagram|within_30m,3,8,strong,+50687896070,+89781035,+50687896070,https://wa.me/50687896070,namugardenhotelspa,,,http://www.namuhotelpuertoviejo.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Cabinas Talamanca,Puerto Viejo,hotel,1496101248030016772,"Cabinas Cable Talamanca - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,7573981416846739723,0.850,1763.2,name>=0.82|phone|website,3,7,strong,+50627500425,+27500425,,,cabinastalamanca,cabinascabletalamancacr,http://www.cabinastalamanca.com/,http://www.cabinastalamanca.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Hotel Punta Cocles,Cocles,hotel,6544015151011886307,Playa Chiquita Paradise,Cocles,restaurant,911501752511410968,0.293,0.0,phone|website|within_30m,3,7,strong,83268355,83268355,,,,,https://uvabluevillas.com/en/4711180/check-availability,https://uvabluevillas.com/en/4711180/check-availability,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Green Water SUP Tours - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,tour_company,14331531993444532415,"Punta Uva Dive Center - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,tour_company,1382996174802571516,0.286,10.6,phone|whatsapp|within_30m,2,6,review,+50688444432,+50688444432,+50688444432,+50688444432,greenwater,puntacostarica,,https://www.tripadvisor.com/Attraction_Review-g1644063-d1846665-Reviews-Punta_Uva_Dive_Center-Manzanillo_Province_of_Limon.html,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Angler's Lair - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,12754897163013733415,Shenanigans–Eat Drink Dink Drive,Cocles,restaurant,15407971963095007347,0.356,798.2,phone|website,2,5,review,+50689568669,+89568669,,,,,http://www.wahoovacations.com/,https://wahoovacations.com/shenanigans/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Margarita - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,3099661925276096610,"Casa Ambar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,18302181789419942285,0.667,2235.6,phone|website,2,5,review,+88392644,+88392644,,,casamargarita,casaambar,http://habitatpuertoviejo.com/,http://www.habitatpuertoviejo.com/#!ambar-ingles/c1q47,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Margarita - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,3099661925276096610,"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,5613050885601789841,0.211,151.0,phone|website,2,5,review,+88392644,+50688392644,,+50688392644,casamargarita,habitatpuertoviejo,http://habitatpuertoviejo.com/,http://habitatpuertoviejo.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Douglasville Guesthouse,Puerto Viejo,vacation_rental,,Douglas Ville guest house,Playa Negra,vacation_rental,16910935893526257108,0.958,34.0,name>=0.92|phone,2,5,review,+50688758494,+50688758494,+50688758494,,,,,,deterministic_merge,"Near-identical name, same phone, same lodging identity, and nearby coordinates; captured CID is transferred to the richer canonical record."
"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,5613050885601789841,"Casa Ambar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,18302181789419942285,0.235,2368.9,phone|website,2,5,review,+50688392644,+88392644,+50688392644,,habitatpuertoviejo,casaambar,http://habitatpuertoviejo.com/,http://www.habitatpuertoviejo.com/#!ambar-ingles/c1q47,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Hotel Aguas Claras - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,5319096016576692772,"Da Lime Beach Club and Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,restaurant,5875257995302760665,0.275,134.3,phone|website,2,5,review,+50627500131,+50627500131,,,hotelaguasclaras,dalime,https://www.hotelaguasclaras.com/,https://hotelaguasclaras.com/amenities/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Hotel Cariblue,Cocles,hotel,,Restaurante Cariblue,Cocles,restaurant,11076891351201890493,0.647,171.8,phone|website,2,5,review,+50627500035,+50627500035,https://wa.me/50683141965,,caribluehotel,restaurantecariblue,https://www.cariblue.com/,https://cariblue.com/service/restaurante/,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hotel,4837747133838124638,Blue Dreams Hotel,Playa Negra,hotel,7864989313907649296,0.500,60.3,phone|website,2,5,review,+50627500501,+27500501,,,le_cr,,https://www.lecameleonhotel.com/,https://www.lecameleonhotel.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hostel,8755282126859435083,"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,restaurant,10844386752467925201,0.500,19.8,website|within_30m,2,5,review,+50627500128,+50627500507,+50684831022,+50683837663,tastydayz,tastywavescantina,https://www.tastydayz.com/,https://www.tastydayz.com/cantina,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Villa del Mar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,10974417683706909929,Hotel Punta Cocles,Cocles,hotel,6544015151011886307,0.258,1101.5,phone|website,2,5,review,+83268355,83268355,,,villadelmar,,https://uvabluevillas.com/en/4711180/check-availability,https://uvabluevillas.com/en/4711180/check-availability,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Villa del Mar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,vacation_rental,10974417683706909929,Playa Chiquita Paradise,Cocles,restaurant,911501752511410968,0.333,1101.5,phone|website,2,5,review,+83268355,83268355,,,villadelmar,,https://uvabluevillas.com/en/4711180/check-availability,https://uvabluevillas.com/en/4711180/check-availability,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Amimodo Beach Rooms,Puerto Viejo,hotel,5872176730909991811,Amimodo Restaurant,Puerto Viejo,restaurant,14941158757917200222,0.595,15.6,phone|within_30m,2,4,review,+50627500257,+50627500257,,,abr,,,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,3301165288581347626,"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,restaurant,2898935241958549311,0.276,16.2,phone|within_30m,2,4,review,+50627502035,+50627502035,,,,azulbarandgrill,,http://azulbeachclub.com/,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
Casa Badawi,Puerto Viejo,hotel,317666818352039671,Casa Trinidad,Puerto Viejo,hotel,15386546290359540673,0.583,27.7,phone|within_30m,2,4,review,+50687047926,+87047926,,,,,https://airbnb.co.cr/h/casabadawi,,distinct_cids,"Separate Google Maps identities; shared signals indicate proximity, management, brand family, or related operations."
"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,hotel,17469621114106254322,Casa Miluca,Playa Negra,restaurant,,0.800,0.1,phone|within_30m,2,4,review,+50689536016,+89536016,+50689536016,,,,,,related_or_shared_contact,"Names/roles differ; shared contact, website, social account, or coordinates are insufficient to merge without matching identity evidence."
