business_name,phone,whatsapp_raw,whatsapp_normalized,status,evidence,evidence_url,crawl_whatsapp,last_checked,note,shared_route_count,shared_route_businesses
Amimodo Beach Rooms,+506 2750 0257,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Black Bamboo,+506 8306 5489,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Bungalows Calalú,+506 2750 0042,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Los Almendros,+506 2750 0235,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Guarana,+506 2750 0244,+50687903340,+50687903340,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
Cabinas Jacaranda,+506 2750-0069,+50661861852,+50661861852,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
Cabinas Lika,+506 2750 0209,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Mitchaelles,+506 8913 5713,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Monte Sol,+506 2750 0098,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Mor,+506 2750 0145,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Popular,+506 2750 0087,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Cabinas Talamanca,+506 2750 0425,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Casa Ana Kimba,+506 8888 1968,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Casa Bohö,+506 8715 1771,+50687151771,+50687151771,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
La Casa de Rolando,+506 2750 0339,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Casa Dolce Vita,+506 2750-0207,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Casitas La Playa,+506 5008 2987,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Chinuk Boutique Hotel,+506 6055 5149,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Conga Boutique Hotel,+506 2750 0681,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Escape Caribeño,+506 2750 0103,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Exotic Lodge,+506 6296 7557,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Family Hotel,+506 8880 0338,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Hostal Cecilia,+506 2750 0302,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Hotel Casa Vito,+506 8697 7557,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Hotel Infiniti,+506 6055-5149,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Hotel Mandacarú,+506 2750-0232,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Hotel Pura Vida,+506 8570 9768,+50685709768,+50685709768,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
Hotel Tropical,+506 2750 2064,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Indalo Hotel Boutique,+506 2750 0826,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Lizard King Hotel,+506 2750 0614,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Maritza Hotel,+506 2750 0003,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Namu Garden Hotel and Spa,+506 8789 6070,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Olinca Boutique Hotel,+506 2229 5495,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Sueño Grande Bed and Breakfast,+506 7205 9392,+50672059392,+50672059392,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
La Tica y La Gata,+506 8756 0823,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Umami Hotel Garden Spa,+506 2750 3200,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
Yucca Beachfront Hotel,+506 2750 0285,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 2750-2035,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Cabinas Kuákua - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8960 7794,+50689607794,+50689607794,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
"Casa Luce - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8953 6016,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Casitas Las Flores - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8343 7810,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8310 5061,+50683105061,+50683105061,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
"Hotel One Love - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8408 8073,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Iguana Lodge - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 6353 5394,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Kaya's Place - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 2750-0690,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Mecca - Playa Negra, Puerto Viejo, Limón, Costa Rica",,+16198904851,+16198904851,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
"Olivia del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 6273 7485,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Perla Negra Beachfront - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8301 5726,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"La Prometida - Playa Negra, Puerto Viejo, Limón, Costa Rica",,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Saranda Hotel Boutique - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 8347 9333,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Sonora Jungle Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 4600 1111,+50688011858,+50688011858,syntax_valid_unconfirmed,master_explicit,,,2026-07-20,No message sent; account ownership/availability not verified.,1,
"Sunshine Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 2750 0401,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Villas Allen - Playa Negra, Puerto Viejo, Limón, Costa Rica",+506 2756 8327,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750-0540,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Bambutel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 7290 5459,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Cabañas Cocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 8870 0110,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Cabinas Ole Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 0455,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Caribe Town Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 2034,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 0518,https://wa.me/50683141965,+50683141965,syntax_valid_unconfirmed,master_explicit+first_party_crawl,https://cariblue.com/,https://wa.me/50683141965,2026-07-20,No message sent; account ownership/availability not verified.,3,"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica | Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica | Hotel Cariblue"
"Colina Secreta - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 83509066,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"La Costa de Papito - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750-0080,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Los Delfines Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 0431,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Hotel Bugabutik - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 2012,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"La Isla Inn - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 0109,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Lanna Ban Hotel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 3053,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
"Le Caméléon - Playa Cocles, Puerto Viejo, Limón, Costa Rica",+506 2750 0501,,,no_route,,,,2026-07-20,No message sent; account ownership/availability not verified.,0,
