business_name,area,category,classification,observed_name,identity_similarity,resolved_cid,decision,reason,existing_cid_businesses,screenshot,screenshot_sha256,final_url
"Casitas Mar y Luz - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,exact,Hotel Casitas Mar y Luz,1.0,8515965990195848246,collision_review,CID already assigned in master,"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",unsigned-full/screenshots/01-b70f4dfece.jpg,19f1d5cce1e9e7fa473ef038002387d7603ec02b957ad79eefbcb84d57aa1c91,"https://www.google.com/maps/place/Hotel+Casitas+Mar+y+Luz/@9.6355893,-82.7086683,17z/data=!4m9!3m8!1s0x8fa645661ccf7329:0x762ec9f2d4ee6436!5m2!4m1!1i2!8m2!3d9.6355893!4d-82.7086683!16s%2Fg%2F12hpqzs_s?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Hotel Kasha - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,exact,Hotel Kasha,1.0,2789448993779357106,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/02-34a1358b0f.jpg,96e0b91824bc6e71e55292f12807c2a1b1f4a9662dff78ce734af4fb2d4e112e,"https://www.google.com/maps/place/Hotel+Kasha/@9.6385459,-82.714302,17z/data=!4m9!3m8!1s0x8fa6507783af0ae1:0x26b61d14a94a15b2!5m2!4m1!1i2!8m2!3d9.6385459!4d-82.714302!16s%2Fg%2F1tfr1h6l?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,probable,La Ceiba Reserva Natural,0.638,1693592634910607224,review,classifier=probable,,unsigned-full/screenshots/03-25e053d740.jpg,02fbdd1b574a919de1167a13201c4d648653549cf6c1e1e2c403edf73eb998dc,"https://www.google.com/maps/place/La+Ceiba+Reserva+Natural/@9.62233,-82.698296,17z/data=!3m1!4b1!4m9!3m8!1s0x8fa6450ceab4eeff:0x1780d98746108778!5m2!4m1!1i2!8m2!3d9.62233!4d-82.698296!16s%2Fg%2F11b73knj3k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,probable,Samasati Retreat Center,0.561,2378802529330389577,review,classifier=probable,,unsigned-full/screenshots/04-0bceab0469.jpg,18234072f9b9fd877c88d285312ae0650be688d37d47f196b16273332539798d,"https://www.google.com/maps/place/Samasati+Retreat+Center/@9.6559269,-82.8061135,17z/data=!4m9!3m8!1s0x8fa650a4159d9805:0x2103344c0789e249!5m2!4m1!1i2!8m2!3d9.6559269!4d-82.8061135!16s%2Fg%2F1tdw93ln?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Villa Mena Apartments - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,exact,villa mena apartamentos,0.955,2340777439094833292,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/05-e7ada7e865.jpg,45e5354ea89cecb9aa9ab4a702c01bdace7c572406d59995b3646a0c2e014bfa,"https://www.google.com/maps/place/villa+mena+apartamentos/@9.6336027,-82.8109469,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa65a1a6f28a449:0x207c1cadcb7f008c!8m2!3d9.6336027!4d-82.8109469!16s%2Fg%2F1yglpdzvq?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
Estrellas Cabinas,Puerto Viejo,vacation_rental,ambiguous,Results,0.333,10951227846186482107,review,classifier=ambiguous,Cabinas Monte Sol,unsigned-full/screenshots/06-a00f3286e5.jpg,b0bb8c3629819a67240f04213941c5c05fcd8d728705461f1def3116692aa2d4,"https://www.google.com/maps/search/Estrellas+Cabinas+Puerto+Viejo+Lim%C3%B3n+Costa+Rica/@9.6475431,-82.7509733,15z/data=!3m1!4b1?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Cabinas Cable Talamanca - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,exact,Cabinas Cable Talamanca - Entire Place,1.0,7573981416846739723,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/07-7271f999d9.jpg,4ebf3cf22200760e6afe53b2324bb55f1fcbfa191034df888edbe40ce651c511,"https://www.google.com/maps/place/Cabinas+Cable+Talamanca+-+Entire+Place/@9.6496706,-82.7625732,17z/data=!3m1!4b1!4m10!3m9!1s0x8fa650766477a15f:0x691c2ff84e8f490b!5m2!4m1!1i2!8m2!3d9.6496706!4d-82.7625732!16s%2Fg%2F11z6m2mp_v!17BQ0FF?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,exact,Las Casitas de Playa Negra,1.0,8689012956679917112,collision_review,CID already assigned in master,Douglasville Guesthouse,unsigned-full/screenshots/08-5cddc6005d.jpg,8d3a8b0dca8ed48cb2086ab601ac84fe0c4f3c0fb62428135fd9ddc3887b304b,"https://www.google.com/maps/place/Las+Casitas+de+Playa+Negra/@9.6518829,-82.7579579,17z/data=!4m9!3m8!1s0x8fa65074973236bf:0x7895933f6bac4e38!5m2!4m1!1i2!8m2!3d9.6518829!4d-82.7579579!16s%2Fg%2F11b6gcbx2w?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Los Continentes - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,exact,Los Continentes,1.0,16195237219481974530,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/09-281824f504.jpg,14cf6f4c51aa33ee4eff90173e22d36f7f0aafbafbf262ec8f679828b5672566,"https://www.google.com/maps/place/Los+Continentes/@9.6428166,-82.7265688,17z/data=!4m9!3m8!1s0x8fa6455702b65351:0xe0c10a71f0687702!5m2!4m1!1i2!8m2!3d9.6428166!4d-82.7265688!16s%2Fg%2F11cfdpk42?hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
"Habitat Vacation Rentals - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,exact,Casa Cumbia Vacation Rental,0.784,5613050885601789841,applied,exact + verified evidence + unique CID,,unsigned-full/screenshots/10-6d7c3846f8.jpg,ba09ace4b44a9e92ec0441de0f4d6df67fae078f4c6f8b2cd79ac7e7835a780a,"https://www.google.com/maps/place/Casa+Cumbia+Vacation+Rental/@9.6570435,-82.7510262,17z/data=!3m1!4b1!4m6!3m5!1s0x8fa651aa4f4cdc23:0x4de5900a8e7c8791!8m2!3d9.6570435!4d-82.7510262!16s%2Fg%2F11jq_y39x0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D"
