business_name,decision,resolved_cid,capture_class,observed_name,identity_similarity,rationale,screenshot,screenshot_sha256
"Boca Chica Bar Restaurante y Piscina - Cahuita, Limón, Costa Rica",rejected_wrong_target,4321586367900376124,ambiguous,Results,0.233,Search resolved unrelated restaurants rather than Boca Chica.,current-25/screenshots/19-a21a383598.jpg,552cd8c1a71c036f50462c019a6730b7b080d3b9a8f0e3c6418579d88a2fabe2
Casa Alegre,rejected_wrong_target,4666775397025577928,probable,Casa Rio,0.632,Resolved Casa Rio is a different named restaurant.,current-25/screenshots/17-03598414cf.jpg,b0262a179bde94b138359b7d0df4c01427d8bb59f73821b47d8dfd56455fb659
Casa Miluca,rejected_wrong_target,18072482811082707755,probable,Casa Maryluz,0.696,Resolved Casa Maryluz is a different named vacation rental.,current-25/screenshots/18-99c2664388.jpg,d5f39f9504dd1d2fe76296931d898ddc12569a41a89934264c3c31f616720277
"Ceibo Adventure - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",rejected_wrong_target,10566257576749882719,ambiguous,Results,0.182,"Resolved Jungle Green House is the host location, not the Ceibo Adventure activity identity.",current-25/screenshots/11-bc944369d7.jpg,e1dc8860333738c52bce30e71294c44139dad068be266f67b73a0b186cba66f5
"Centro Educativo Playa Chiquita Punta Uva - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",accepted,15763192850089670329,probable,Playa Chiquita Education Center Punta Uva,0.667,English-translated observed name matches the full Spanish school identity and location.,current-25/screenshots/09-78100c7eeb.jpg,a6c9cfd5d3ae33eee5c7cd9fcb83b0e64739bfc8c08edcfc3de4922d993ddeb8
"El Colibri Rojo - Cahuita, Limón, Costa Rica",accepted,903286394928674373,probable,Le Colibri Rouge Hotel Cabinas,0.578,Observed Le Colibri Rouge is the French translation of the canonical hotel name in Cahuita.,current-25/screenshots/20-3d1533e09c.jpg,d22dde50ca64c42b116b254e11546e3db5f89e89252330c9430b0c4e8d4f3b31
Estrellas Cabinas,rejected_wrong_target,10951227846186482107,ambiguous,Results,0.333,"Generic results; extracted CID belongs to Cabinas Monte Sol, not Estrellas.",current-25/screenshots/04-a00f3286e5.jpg,474230eb53e42f64ed43b841fcf61db1adcca2c79afb0c4468010e408ae0d2d5
"Flor del Caribe - Playa Cocles, Puerto Viejo, Limón, Costa Rica",accepted,17897655248647644053,exact,Rancho Flor del Caribe,1.0,Fresh capture exactly matches the business identity after the legacy CID was moved away.,current-25/screenshots/05-0946e7f18e.jpg,4f9085d0c497e8f4a5ed2c942ddb84ad214ab00d961cb8cb1ea5b195652ec7d1
"Ginger and Cacao - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",accepted,1074114199983889358,probable,Cabinas Ginger & Cacao,0.667,Observed Cabinas Ginger & Cacao matches the distinctive property name and lodging identity.,current-25/screenshots/07-2849276723.jpg,db230e5e1ee2fc9a7f83eba3514aac5bbac2e0d3084a4464e2c4079825fe8b2d
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",accepted,11862065950546251000,exact,Hidden Jungle Beach House,1.0,Fresh capture exactly matches the business identity after the legacy CID was moved away.,current-25/screenshots/01-4d6c2e1e8a.jpg,6e403d7b80434ea58e3187b6a7b3cdf14c1cd7eb1e7752f8828c84805995fed8
