key,business_name,area,primary_category,groups,tags,attributes,review_state,conflicts,master_description,maps_parsed,maps_full_text
cid:5872176730909991811,Amimodo Beach Rooms,Puerto Viejo,hotel,stay,hotel,vacation-rental,accepted_deterministic,,True,True,True
cid:9649993079907777710,Black Bamboo,Puerto Viejo,hotel,stay,bed-and-breakfast|hotel,gym,accepted_deterministic,,True,True,True
cid:1614163454683628928,Bungalows Calalú,Puerto Viejo,hotel,stay,hotel,gym|spa,accepted_deterministic,,True,True,True
cid:11326919937828667471,Cabinas Los Almendros,Puerto Viejo,hotel,stay,cabins|hotel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:3227485566230734531,Cabinas Guarana,Puerto Viejo,hotel,stay,cabins|hostel|hotel,gym,accepted_deterministic,,True,True,True
cid:12370139056940041503,Cabinas Jacaranda,Puerto Viejo,hotel,stay,cabins|hotel,gym|laundry|massage|vacation-rental|yoga,accepted_deterministic,,True,True,True
cid:1111954385529331281,Cabinas Lika,Puerto Viejo,hotel,stay,cabins|hotel,,accepted_deterministic,,True,True,True
cid:13327167442180512504,Cabinas Mitchaelles,Puerto Viejo,hotel,stay,cabins|hotel,,accepted_deterministic,,True,True,True
cid:10951227846186482107,Cabinas Monte Sol,Puerto Viejo,hotel,stay,cabins|hotel,bar|gym,accepted_deterministic,,True,True,True
cid:13919554959587676121,Cabinas Mor,Puerto Viejo,hotel,stay,cabins|hotel,,accepted_deterministic,,True,True,True
cid:975506958424374718,Cabinas Popular,Puerto Viejo,hotel,stay,cabins|hotel,gym,accepted_deterministic,,True,True,True
cid:1496101248030016772,Cabinas Talamanca,Puerto Viejo,hotel,stay,cabins|hotel,gym,accepted_deterministic,,True,True,True
cid:13823455026627310391,Casa Ana Kimba,Puerto Viejo,hotel,stay,hotel,,accepted_deterministic,,True,True,True
cid:8284218495825622354,Casa Bohö,Puerto Viejo,hotel,stay,bed-and-breakfast|hotel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:1261667056997797786,La Casa de Rolando,Puerto Viejo,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:1282335974102907594,Casa Dolce Vita,Puerto Viejo,hotel,stay,hotel,cabins|gym,accepted_deterministic,,True,True,True
cid:8798809940588504560,Casitas La Playa,Puerto Viejo,hotel,stay,cabins|hotel|vacation-rental,bar|gym,accepted_deterministic,,True,True,True
cid:4032204592829800059,Chinuk Boutique Hotel,Puerto Viejo,hotel,stay,hotel,,accepted_deterministic,,True,True,True
