business_name,area,phone,instagram,website,cid,rating,desc_len,amenities
Río Negro,Cocles,Y,N,Y,Y,N,57,0
Api-Rescate,Cocles,N,N,N,Y,4.6,49,0
Arrecife El Chino,Puerto Viejo,N,N,N,Y,4.9,55,0
Beach Trail,Playa Negra,N,N,N,Y,5.0,54,0
Buddy's Sloth Crossing,Puerto Viejo,N,Y,N,Y,5.0,91,0
CaribeZen,Playa Negra,Y,Y,Y,Y,N,62,0
Casa Alegra,Playa Negra,N,N,N,Y,4.8,54,0
Casa Amma,Playa Negra,Y,N,N,Y,4.6,90,0
Casa Antorcha,Cocles,Y,N,N,Y,4.5,85,0
Casa Lily,Cocles,N,N,N,Y,4.5,49,0
Casa Miluca,Playa Negra,Y,N,N,N,N,62,0
Casa Miluco,Playa Negra,N,N,N,Y,N,26,0
Casa Olingo,Playa Negra,Y,N,N,Y,4.6,90,0
Casa Palliata,Playa Negra,N,N,Y,Y,4.3,90,0
Casa Shanti,Cocles,N,N,N,Y,N,21,0
casa tia zeidy,Playa Negra,Y,N,N,Y,4.9,90,0
Casa vacacional happy day beach house,Puerto Viejo,Y,N,N,Y,3.0,91,0
Casa Vosi,Playa Negra,N,N,N,Y,4.5,54,0
Cirrus Sky Paragliding CR,Playa Negra,Y,N,Y,Y,5.0,90,0
Cubali Beach,Playa Negra,N,N,N,Y,N,26,0
Doctah Herbalist,Cocles,Y,N,N,Y,5.0,85,0
Explora Caribe CR,Playa Negra,Y,N,N,Y,4.0,90,0
Finca Darai,Cocles,N,N,N,Y,N,21,0
FISIOTERAPIA Agustin cuya,Cocles,Y,N,Y,Y,5.0,85,0
Global Stones finca conservación,Cocles,N,N,N,Y,4.3,49,0
Hidden Viewpoint,Playa Negra,Y,N,N,Y,5.0,90,0
Iglesia Cristiana Casa De Restauracion,Cocles,N,N,N,Y,4.5,85,0
Izzy Rides CR,Cocles,Y,N,Y,Y,5.0,85,0
Jungalow,Puerto Viejo,N,N,N,Y,4.0,55,0
Kä Luxury Caribbean,Playa Negra,N,N,N,Y,5.0,54,0
Ka Namu,Playa Negra,Y,N,N,Y,N,62,0
LA CHASCONA,Playa Negra,Y,N,N,Y,3.0,90,0
Nana's Place Beach House,Playa Chiquita,Y,N,N,Y,5.0,93,0
Paraiso Bohemio,Puerto Viejo,N,N,N,Y,5.0,55,0
Pipa's Beach,Puerto Viejo,N,N,N,Y,5.0,55,0
Playa Estiven,Playa Negra,N,N,N,Y,5.0,54,0
Siren Sanctuary,Cocles,N,Y,Y,Y,5.0,85,0
Spiral,Puerto Viejo,N,N,N,Y,5.0,55,0
Talamanca Viewpoint,Puerto Viejo,N,N,N,Y,4.7,55,0
TreeTop Mansion,Playa Negra,Y,N,Y,Y,4.6,90,0
Jungalow Tropical Caribeño,Cocles,N,N,N,Y,5.0,49,0
Apetito Express,Playa Negra,Y,N,N,Y,4.5,90,0
Puerto Viejo de Talamanca,Playa Negra,Y,N,Y,N,N,62,0
El Ranchón,Playa Negra,Y,N,N,Y,4.1,90,0
Playa Chiquita Paradise,Cocles,Y,N,Y,Y,N,57,0
