business_name,category,area,phone,whatsapp,instagram,website,cid,rating
Watuza,restaurant,Puerto Viejo,N,N,Y,Y,Y,4.9
El Faro 13,hostel,Puerto Viejo,Y,N,Y,Y,Y,N
Hotel Los Sueños,hostel,Puerto Viejo,Y,N,Y,Y,Y,4.5
Villa Bukë,hostel,Playa Negra,Y,N,N,Y,Y,4.3
Beach Hut,hotel,Puerto Viejo,Y,N,Y,N,Y,N
Mi Casa Hostel y Hotel El Tesoro,hotel,Cocles,Y,N,N,N,Y,3.4
Cabinas Orange Green,hotel,Puerto Viejo,Y,N,Y,N,Y,4.6
Cabinas Wray,hotel,Puerto Viejo,Y,Y,Y,N,Y,4.0
Casa Badawi,hotel,Puerto Viejo,Y,N,N,Y,Y,5.0
Casa Trinidad,hotel,Puerto Viejo,Y,N,N,N,Y,5.0
Casa Tuareg,hotel,Puerto Viejo,Y,N,N,N,Y,5.0
Harmony: Mini Casa Rodante by Aptos Casa Caribe,hotel,Puerto Viejo,Y,N,N,Y,Y,5.0
Hotel Posada Nena,hotel,Puerto Viejo,Y,N,Y,Y,N,N
Las Mariposas,hotel,Playa Chiquita,Y,Y,Y,Y,Y,4.0
Paula's and Daniel's Homestay,hotel,Puerto Viejo,Y,N,Y,N,N,N
Vista Verde,hotel,Puerto Viejo,Y,N,N,Y,Y,N
Restaurante Cariblue,restaurant,Cocles,Y,N,Y,Y,Y,4.3
Río Negro,restaurant,Cocles,Y,N,N,Y,Y,N
Jungle Air Parapente,shopping,Puerto Viejo,Y,N,N,Y,Y,4.2
Panadería Francés,shopping,Cocles,Y,N,Y,N,N,N
Hotel Villas y Glamping M&A,vacation_rental,Cocles,Y,Y,Y,Y,Y,4.5
Yerbas Concepto Culinario,restaurant,Puerto Viejo,N,N,Y,Y,Y,4.8
Casa Miluca,restaurant,Playa Negra,Y,N,N,N,N,N
