business_name,category,area,status,phone,whatsapp,instagram,website,cid,rating,amenities,desc_len,auto_desc,qa_status,qa_notes
Amimodo Beach Rooms,hotel,Puerto Viejo,active,Y,N,Y,N,Y,2.7,3,83,,,
Black Bamboo,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.7,7,368,,,
Bungalows Calalú,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.4,7,381,,,
Cabinas Los Almendros,hotel,Puerto Viejo,active,Y,Y,Y,Y,Y,4.3,6,148,,,
Cabinas Guarana,hotel,Puerto Viejo,active,Y,Y,N,N,Y,4.2,5,291,,,
Cabinas Jacaranda,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.3,8,312,,,
Cabinas Lika,hotel,Puerto Viejo,active,Y,N,N,N,Y,4.5,4,29,,,
Cabinas Mitchaelles,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.0,4,177,,,
Cabinas Monte Sol,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.4,7,443,,,
Cabinas Mor,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.7,4,173,,,
Cabinas Popular,hotel,Puerto Viejo,active,Y,N,N,N,Y,4.0,11,100,,,
Cabinas Talamanca,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.1,8,129,,,
Casa Ana Kimba,hotel,Puerto Viejo,active,Y,N,Y,N,Y,5.0,6,135,,,
Casa Bohö,hotel,Puerto Viejo,active,Y,Y,N,N,Y,4.7,10,283,,,
La Casa de Rolando,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.2,3,248,,,
Casa Dolce Vita,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.6,5,183,,,
Casitas La Playa,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.7,10,220,,,
Chinuk Boutique Hotel,hotel,Puerto Viejo,active,Y,N,N,N,Y,5.0,6,61,,,
Conga Boutique Hotel,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.9,8,223,,,
Escape Caribeño,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.5,10,90,,,
Exotic Lodge,hotel,Puerto Viejo,active,Y,N,Y,N,Y,3.9,5,162,,,
Family Hotel,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.0,3,216,,,
Hostal Cecilia,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.1,6,335,,,
Hotel Casa Vito,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,5.0,3,192,,,
Hotel Infiniti,hotel,Puerto Viejo,active,Y,N,N,N,Y,4.8,7,352,,,
Hotel Mandacarú,hotel,Puerto Viejo,active,Y,N,N,N,Y,3.3,5,321,,,
Hotel Pura Vida,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.4,4,412,,,
Hotel Tropical,hotel,Puerto Viejo,active,Y,N,Y,Y,Y,4.4,4,213,,,
Indalo Hotel Boutique,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.6,7,321,,,
Lizard King Hotel,hotel,Puerto Viejo,active,Y,N,Y,N,Y,3.7,11,250,,,
Maritza Hotel,hotel,Puerto Viejo,active,Y,N,N,N,Y,4.3,5,305,,,
Namu Garden Hotel and Spa,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.5,11,231,,,
Olinca Boutique Hotel,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.6,11,283,,,
Sueño Grande Bed and Breakfast,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.7,7,494,,,
La Tica y La Gata,hotel,Puerto Viejo,active,Y,Y,Y,N,Y,4.8,10,208,,,
Umami Hotel Garden Spa,hotel,Puerto Viejo,active,Y,N,Y,N,Y,4.6,10,305,,,
Yucca Beachfront Hotel,hotel,Puerto Viejo,active,Y,N,N,N,Y,4.4,5,259,,,
Banana Azul,hotel,Playa Negra,active,Y,N,N,N,Y,4.5,10,340,,,
Cabinas Kuákua,hotel,Playa Negra,active,Y,Y,Y,N,Y,4.2,6,139,,,
Casa Luce,hotel,Playa Negra,active,Y,Y,N,N,Y,4.7,4,117,,,
Casitas Las Flores,hotel,Playa Negra,active,Y,N,Y,N,Y,4.6,8,500,,,
Hidden Jungle Beach House,hotel,Playa Negra,active,Y,Y,Y,N,Y,N,6,236,,,
Hotel One Love,hotel,Playa Negra,active,Y,N,Y,N,Y,4.2,3,114,,,
Iguana Lodge,hotel,Playa Negra,active,Y,N,Y,N,Y,3.9,8,155,,,
Kaya's Place,hotel,Playa Negra,active,Y,N,Y,N,Y,3.8,4,322,,,
Mecca,hotel,Playa Negra,active,N,Y,N,N,Y,4.6,9,430,,,
Olivia del Caribe,hotel,Playa Negra,active,Y,N,Y,N,Y,4.5,7,212,,,
Perla Negra Beachfront,hotel,Playa Negra,active,Y,N,Y,N,Y,3.8,3,232,,,
La Prometida,hotel,Playa Negra,active,N,N,Y,N,Y,5.0,10,158,,,
Saranda Hotel Boutique,hotel,Playa Negra,active,Y,N,Y,N,Y,4.6,10,189,,,
Sonora Jungle Retreat,hotel,Playa Negra,active,Y,Y,Y,N,Y,4.7,11,336,,,
Sunshine Caribe,hotel,Playa Negra,active,Y,N,Y,N,Y,4.6,6,207,,,
Villas Allen,hotel,Playa Negra,active,Y,N,Y,N,Y,4.4,10,289,,,
Azania Bungalows,hotel,Cocles,active,Y,N,N,N,Y,4.5,7,206,,,
Bambutel,hotel,Cocles,active,Y,Y,Y,N,Y,4.3,7,328,,,
Cabañas Cocles,hotel,Cocles,active,Y,N,N,N,Y,3.4,2,193,,,
Cabinas Ole Caribe,hotel,Cocles,active,Y,N,Y,N,Y,4.3,5,204,,,
Caribe Town Resort,hotel,Cocles,active,Y,N,Y,N,Y,4.8,11,331,,,
Cariblue Beach and Jungle Resort,hotel,Cocles,active,Y,Y,Y,Y,Y,4.2,11,500,,,
Colina Secreta,hotel,Cocles,active,Y,N,Y,N,Y,4.9,11,316,,,
La Costa de Papito,hotel,Cocles,active,Y,N,Y,N,Y,4.5,7,227,,,
Los Delfines Lodge,hotel,Cocles,active,Y,N,Y,N,Y,4.7,3,146,,,
Hotel Bugabutik,hotel,Cocles,active,Y,N,Y,N,Y,4.3,6,316,,,
La Isla Inn,hotel,Cocles,active,Y,N,N,N,Y,3.9,7,342,,,
Lanna Ban Hotel,hotel,Cocles,active,Y,N,Y,N,Y,4.4,7,209,,,
Le Caméléon,hotel,Cocles,active,Y,N,Y,Y,Y,4.3,11,243,,,
La Magia Bungalows,hotel,Cocles,active,Y,N,Y,N,Y,4.6,3,411,,,
La Paz del Caribe,hotel,Cocles,active,Y,N,Y,N,Y,5.0,5,193,,,
Physis Caribbean Bed & Breakfast,hotel,Cocles,active,Y,Y,N,N,Y,4.8,7,500,,,
Pipa Lodge,hotel,Cocles,active,Y,N,Y,N,Y,4.6,6,320,,,
Relax Natural Village,hotel,Cocles,active,Y,N,N,Y,Y,4.9,11,292,,,
Satta Lodge,hotel,Cocles,active,Y,N,Y,Y,Y,4.9,11,288,,,
Casa Merlin Lodge,hotel,Playa Chiquita,active,Y,N,N,N,Y,4.4,9,276,,,
Casitas Mar y Luz,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.2,4,361,,,
Green Jungle House,hotel,Playa Chiquita,active,Y,Y,Y,N,Y,4.5,6,319,,,
Hotel Aguas Claras,hotel,Playa Chiquita,active,Y,N,Y,Y,Y,4.8,11,325,,,
Hotel Kasha,hotel,Playa Chiquita,active,Y,N,Y,N,Y,N,6,274,,,
Jaguar Inn Bungalows,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.7,1,323,,,
La Kukula Lodge,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.7,8,500,,,
Mar Verde Lodge,hotel,Playa Chiquita,active,Y,Y,Y,N,Y,4.6,1,256,,,
Namuwoki Lodge,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.5,8,255,,,
El Nido Jungle Lodge,hotel,Playa Chiquita,active,N,Y,N,N,Y,4.5,7,334,,,
Shawandha Lodge,hotel,Playa Chiquita,active,Y,N,N,N,Y,4.1,7,235,,,
Tierra de Suenos Lodge,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.7,6,371,,,
Tree House Lodge,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.7,8,468,,,
Villas del Caribe,hotel,Playa Chiquita,active,Y,N,Y,N,Y,4.3,7,304,,,
Awa Beach Boutique Hotel,hotel,Punta Uva,active,Y,N,Y,N,Y,4.9,11,331,,,
La Ceiba Nature Reserve,hotel,Punta Uva,active,Y,N,Y,N,Y,N,6,500,,,
Pachamama Jungle River Lodge,hotel,Punta Uva,active,Y,N,Y,N,Y,4.4,8,380,,,
Cabinas Kinawe,hotel,Hone Creek,active,Y,N,Y,N,Y,5.0,6,171,,,
Casa Conley Del Mar,hotel,Hone Creek,active,Y,N,Y,N,Y,4.7,9,206,,,
Hotel Hawa,hotel,Hone Creek,active,Y,N,Y,N,Y,3.6,1,374,,,
Orgánico Punta Riel,hotel,Hone Creek,active,Y,N,Y,N,Y,4.6,1,297,,,
Rancho Tranquilo,hotel,Hone Creek,active,Y,Y,Y,N,Y,4.5,2,145,,,
Samasati Yoga and Wellness Retreat,hotel,Hone Creek,active,Y,N,Y,Y,Y,N,6,384,,,
Villa Mena Apartments,hotel,Hone Creek,active,Y,N,Y,N,Y,N,6,187,,,
Casa Wolaba,hostel,Puerto Viejo,active,Y,Y,Y,N,Y,4.3,2,242,,,
El Clan Hostel,hostel,Puerto Viejo,active,Y,Y,Y,N,Y,4.7,4,225,,,
