business_name,category,area,phone,whatsapp,instagram,website,cid,rating,amenities,desc_len,auto_desc
Casa Roble de Playa Negra,vacation_rental,Playa Negra,N,N,Y,Y,Y,3.2,0,379,
Villas Banana Verde,vacation_rental,Playa Negra,Y,N,N,Y,Y,4.8,0,422,
Gigi O Restaurant,restaurant,Puerto Viejo,Y,Y,N,Y,Y,4.5,0,141,
Amimodo Restaurant,restaurant,Puerto Viejo,Y,N,N,N,Y,4.4,0,98,
Azul Bar and Grill,restaurant,Playa Negra,Y,N,Y,N,Y,4.1,0,302,
Beach Break Restaurant,restaurant,Cocles,Y,N,Y,N,Y,4.8,0,103,
Cafe Rico,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.7,0,44,
Cafe Viejo,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.6,0,74,
La Casita de Monli,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.5,0,68,
Chaman Mercadito,restaurant,Puerto Viejo,N,N,Y,N,Y,4.4,0,80,
Chill and Cheese Snackbar,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.7,0,41,
Cocomar Comida Caribeña,restaurant,Puerto Viejo,Y,N,N,N,Y,4.7,0,50,
La Esquina Boruca Pizzeria,restaurant,Puerto Viejo,Y,Y,Y,N,Y,4.3,0,40,
Gigi Beach,restaurant,Cocles,Y,N,Y,N,Y,4.1,0,166,
Island City Wingz N Tingz,restaurant,Puerto Viejo,Y,N,N,N,Y,N,0,112,
Joe Snack Point,restaurant,Puerto Viejo,Y,N,N,N,Y,4.8,0,30,
La Leyenda de L'Antico Forno en El Establo de Bruce,restaurant,Playa Chiquita,N,N,Y,Y,Y,4.7,0,84,
Madre Tierra,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.5,0,119,
McCloud's Munchies,restaurant,Puerto Viejo,N,N,N,N,Y,4.8,0,19,
Mixta Comida y Cócteles,restaurant,Playa Chiquita,N,N,Y,N,Y,4.8,0,161,
La Nena,restaurant,Cocles,Y,Y,Y,Y,Y,4.6,0,112,
Otra Vez,restaurant,Playa Chiquita,Y,N,Y,N,Y,4.7,0,121,
El Pampa Asador,restaurant,Playa Negra,Y,Y,N,N,Y,4.5,0,40,
La Parada Cafeteria,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.3,0,160,
Paradise Comida Caribeña,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.7,0,44,
Pizzeria Pulcinella,restaurant,Playa Chiquita,Y,N,N,N,Y,4.7,0,125,
Port Vell,restaurant,Puerto Viejo,Y,Y,Y,Y,Y,4.8,0,305,
Que Quilombo,restaurant,Playa Chiquita,Y,N,Y,Y,Y,4.7,0,55,
Restaurante Bar Tamara,restaurant,Puerto Viejo,N,N,Y,Y,Y,4.6,0,251,
Restaurante Riquísimo,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.4,0,92,
Roly Caribbean Food,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.6,0,119,
El Sabor Tico,restaurant,Puerto Viejo,Y,N,N,N,Y,3.6,0,106,
Selvin's Restaurant and Cabinas,restaurant,Punta Uva,N,N,Y,N,Y,4.4,0,177,
SOCA Restaurant,restaurant,Puerto Viejo,Y,Y,Y,Y,Y,4.8,0,117,
Soda Playa Chiquita,restaurant,Playa Chiquita,N,N,Y,Y,Y,3.2,0,76,
Soda Shekiná,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.6,0,85,
Clan Vibes Club,restaurant,Puerto Viejo,N,N,Y,N,Y,3.0,0,96,
Da Lime Beach Club and Restaurant,restaurant,Playa Chiquita,Y,N,Y,Y,Y,4.7,0,132,
7 Ice Creams,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.9,0,39,
Bread and Chocolate,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.7,0,171,
Bread What What,restaurant,Puerto Viejo,Y,N,N,N,Y,4.8,0,48,
Como En Mi Casa Art Cafe,restaurant,Puerto Viejo,Y,N,Y,Y,Y,4.4,0,59,
Lulu's Place,restaurant,Puerto Viejo,Y,N,Y,N,Y,5.0,0,211,
Ocho Nani,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.8,0,131,
Sweet Moments,restaurant,Puerto Viejo,Y,N,Y,N,Y,4.0,0,26,
Aloe Boutique,shopping,Puerto Viejo,N,N,Y,N,Y,4.7,0,22,
Bambu Store,shopping,Puerto Viejo,Y,N,N,N,Y,5.0,0,78,
Cantik at Home,shopping,Puerto Viejo,N,N,Y,N,Y,1.3,0,34,
Casa Mandala,shopping,Playa Chiquita,Y,N,Y,N,Y,4.6,0,133,
DiTown Shop,shopping,Puerto Viejo,Y,N,Y,N,Y,4.7,0,64,
Luna May,shopping,Puerto Viejo,N,N,Y,N,Y,4.7,0,97,
