Business Name,Instagram Handle,Instagram URL,Category,Area,Signal Tier,Status,Verified?,Date of Last Post,Activity Frequency,Notes
Casa Wolaba,casa.wolaba,"=HYPERLINK(""https://www.instagram.com/casa.wolaba/"",""@casa.wolaba"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
El Clan Hostel,elclan_hostel,"=HYPERLINK(""https://www.instagram.com/elclan_hostel/"",""@elclan_hostel"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Hotel and Hostel Agapi,agapi.pv,"=HYPERLINK(""https://www.instagram.com/agapi.pv/"",""@agapi.pv"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Hotel Puerto Viejo,hotelpuertoviejocr,"=HYPERLINK(""https://www.instagram.com/hotelpuertoviejocr/"",""@hotelpuertoviejocr"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Kalunay Hostel,kalunayhostel,"=HYPERLINK(""https://www.instagram.com/kalunayhostel/"",""@kalunayhostel"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Oasis Beachfront Hostel,oasis.hostel.pv,"=HYPERLINK(""https://www.instagram.com/oasis.hostel.pv/"",""@oasis.hostel.pv"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Pagalu Hostel,pagaluhostel,"=HYPERLINK(""https://www.instagram.com/pagaluhostel/"",""@pagaluhostel"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Rocking J's Hostel,rockingjshostel,"=HYPERLINK(""https://www.instagram.com/rockingjshostel/"",""@rockingjshostel"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Roots Family Hostel,roots_cr,"=HYPERLINK(""https://www.instagram.com/roots_cr/"",""@roots_cr"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
La Ruka Hostel,larukahostel,"=HYPERLINK(""https://www.instagram.com/larukahostel/"",""@larukahostel"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
Soul Rebel Hostel,soulrebelhostel,"=HYPERLINK(""https://www.instagram.com/soulrebelhostel/"",""@soulrebelhostel"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
La Tribu,latribuhostelcr,"=HYPERLINK(""https://www.instagram.com/latribuhostelcr/"",""@latribuhostelcr"")",hostel,Puerto Viejo,T1,ok,FALSE,,,
"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",tastydayz,"=HYPERLINK(""https://www.instagram.com/tastydayz/"",""@tastydayz"")",hostel,Cocles,T1,ok,FALSE,,,
"Yuyo Huelal Totga - Playa Cocles, Puerto Viejo, Limón, Costa Rica",huelal_totga,"=HYPERLINK(""https://www.instagram.com/huelal_totga/"",""@huelal_totga"")",hostel,Cocles,T1,ok,FALSE,,,
"Madre Selva Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",madreselvahostel,"=HYPERLINK(""https://www.instagram.com/madreselvahostel/"",""@madreselvahostel"")",hostel,Cocles,T1,ok,FALSE,,,
"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",playa506,"=HYPERLINK(""https://www.instagram.com/playa506/"",""@playa506"")",hostel,Cocles,T1,ok,FALSE,,,
"Smile Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",smilehostelcr,"=HYPERLINK(""https://www.instagram.com/smilehostelcr/"",""@smilehostelcr"")",hostel,Cocles,T1,ok,FALSE,,,
"Tasty Waves Cantina - Playa Cocles, Puerto Viejo, Limón, Costa Rica",tastywavescantina,"=HYPERLINK(""https://www.instagram.com/tastywavescantina/"",""@tastywavescantina"")",restaurant,Cocles,T1,ok,FALSE,,,
"Arrecife Hotel y Restaurante - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",arrecifepuntauva,"=HYPERLINK(""https://www.instagram.com/arrecifepuntauva/"",""@arrecifepuntauva"")",restaurant,Punta Uva,T1,ok,FALSE,,,
"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",azulbarandgrill,"=HYPERLINK(""https://www.instagram.com/azulbarandgrill/"",""@azulbarandgrill"")",restaurant,Playa Negra,T1,ok,FALSE,,,
"Beach Break Restaurant - Playa Cocles, Puerto Viejo, Limón, Costa Rica",beachbreak_cocles,"=HYPERLINK(""https://www.instagram.com/beachbreak_cocles/"",""@beachbreak_cocles"")",restaurant,Cocles,T1,ok,FALSE,,,
Cacao Huasi,cacaohuasi,"=HYPERLINK(""https://www.instagram.com/cacaohuasi/"",""@cacaohuasi"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Café Gustitos,caf_gustitos,"=HYPERLINK(""https://www.instagram.com/caf_gustitos/"",""@caf_gustitos"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Cafe Rico,cafericocostarica,"=HYPERLINK(""https://www.instagram.com/cafericocostarica/"",""@cafericocostarica"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Cafe Viejo,cafeviejo_cr,"=HYPERLINK(""https://www.instagram.com/cafeviejo_cr/"",""@cafeviejo_cr"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
La Casita de Monli,lacasitademonli,"=HYPERLINK(""https://www.instagram.com/lacasitademonli/"",""@lacasitademonli"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Chaman Mercadito,chaman_mercadito,"=HYPERLINK(""https://www.instagram.com/chaman_mercadito/"",""@chaman_mercadito"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"El Chante de Moncho - Playa Cocles, Puerto Viejo, Limón, Costa Rica",elchantedemoncho,"=HYPERLINK(""https://www.instagram.com/elchantedemoncho/"",""@elchantedemoncho"")",restaurant,Cocles,T1,ok,FALSE,,,
Chile Rojo,chili_cr,"=HYPERLINK(""https://www.instagram.com/chili_cr/"",""@chili_cr"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Chill and Cheese Snackbar,chillcostarica,"=HYPERLINK(""https://www.instagram.com/chillcostarica/"",""@chillcostarica"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Como en la Gloria,comoenlagloriapuertoviejo,"=HYPERLINK(""https://www.instagram.com/comoenlagloriapuertoviejo/"",""@comoenlagloriapuertoviejo"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
De Gustibus Bakery,bakerydegustibus,"=HYPERLINK(""https://www.instagram.com/bakerydegustibus/"",""@bakerydegustibus"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
La Esquina Boruca Pizzeria,laesquinaboruca,"=HYPERLINK(""https://www.instagram.com/laesquinaboruca/"",""@laesquinaboruca"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"Gigi Beach - Playa Cocles, Puerto Viejo, Limón, Costa Rica",wearegigibeach,"=HYPERLINK(""https://www.instagram.com/wearegigibeach/"",""@wearegigibeach"")",restaurant,Cocles,T1,ok,FALSE,,,
Hot Rocks,hotrocks,"=HYPERLINK(""https://www.instagram.com/hotrocks/"",""@hotrocks"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"Il Fiore Rosso - Playa Cocles, Puerto Viejo, Limón, Costa Rica",ilfiorerossocr,"=HYPERLINK(""https://www.instagram.com/ilfiorerossocr/"",""@ilfiorerossocr"")",restaurant,Cocles,T1,ok,FALSE,,,
KOKi Beach,kokibeach,"=HYPERLINK(""https://www.instagram.com/kokibeach/"",""@kokibeach"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"La Leyenda de L'Antico Forno en El Establo de Bruce - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",la_leyenda_pizzeria,"=HYPERLINK(""https://www.instagram.com/la_leyenda_pizzeria/"",""@la_leyenda_pizzeria"")",restaurant,Playa Chiquita,T1,ok,FALSE,,,
Lidia's Place,lidiasplace,"=HYPERLINK(""https://www.instagram.com/lidiasplace/"",""@lidiasplace"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"Lizzie 1872 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",1872restaurant_,"=HYPERLINK(""https://www.instagram.com/1872restaurant_/"",""@1872restaurant_"")",restaurant,Cocles,T1,ok,FALSE,,,
Madre Tierra,madretierra,"=HYPERLINK(""https://www.instagram.com/madretierra/"",""@madretierra"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"Mixta Comida y Cócteles - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",mixtacr,"=HYPERLINK(""https://www.instagram.com/mixtacr/"",""@mixtacr"")",restaurant,Playa Chiquita,T1,ok,FALSE,,,
Nanku,nanku.puertoviejo,"=HYPERLINK(""https://www.instagram.com/nanku.puertoviejo/"",""@nanku.puertoviejo"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"La Nena - Playa Cocles, Puerto Viejo, Limón, Costa Rica",lanenacr,"=HYPERLINK(""https://www.instagram.com/lanenacr/"",""@lanenacr"")",restaurant,Cocles,T1,ok,FALSE,,,
"Otra Vez - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",otravezplayachiquita,"=HYPERLINK(""https://www.instagram.com/otravezplayachiquita/"",""@otravezplayachiquita"")",restaurant,Playa Chiquita,T1,ok,FALSE,,,
La Parada Cafeteria,la_parada_cafeteria_cr,"=HYPERLINK(""https://www.instagram.com/la_parada_cafeteria_cr/"",""@la_parada_cafeteria_cr"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Paradise Comida Caribeña,paradisepuertoviejo,"=HYPERLINK(""https://www.instagram.com/paradisepuertoviejo/"",""@paradisepuertoviejo"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"Pecora Nera - Playa Cocles, Puerto Viejo, Limón, Costa Rica",lapecoraneracr,"=HYPERLINK(""https://www.instagram.com/lapecoraneracr/"",""@lapecoraneracr"")",restaurant,Cocles,T1,ok,FALSE,,,
The Point Smash Burgers,thepoint.pv,"=HYPERLINK(""https://www.instagram.com/thepoint.pv/"",""@thepoint.pv"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Port Vell,portvellcr,"=HYPERLINK(""https://www.instagram.com/portvellcr/"",""@portvellcr"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
Puerto Pirata,puertopirata.tikibar,"=HYPERLINK(""https://www.instagram.com/puertopirata.tikibar/"",""@puertopirata.tikibar"")",restaurant,Puerto Viejo,T1,ok,FALSE,,,
"Pura Gula Restaurant - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",puragularestaurante,"=HYPERLINK(""https://www.instagram.com/puragularestaurante/"",""@puragularestaurante"")",restaurant,Playa Chiquita,T1,ok,FALSE,,,
