latitude,longitude,zoom_z16,zoom_z17,zone
9.637382,-82.727712,True,False,standard
9.637382,-82.724971,True,False,standard
9.637382,-82.722229,True,False,standard
9.637382,-82.719488,True,False,standard
9.637382,-82.716746,True,False,standard
9.637382,-82.714005,True,True,dense
9.640085,-82.729083,True,False,standard
9.640085,-82.726342,True,False,standard
9.640085,-82.7236,True,False,standard
9.640085,-82.720858,True,False,standard
9.640085,-82.718117,True,False,standard
9.640085,-82.715375,True,False,standard
9.640085,-82.712634,True,True,dense
9.642787,-82.727712,True,False,standard
9.642787,-82.724971,True,False,standard
9.642787,-82.722229,True,False,standard
9.642787,-82.719488,True,False,standard
9.642787,-82.716746,True,False,standard
9.642787,-82.714005,True,False,standard
9.642787,-82.711263,True,True,dense
9.64549,-82.742791,True,True,dense
9.64549,-82.740049,True,True,dense
9.64549,-82.737308,True,True,dense
9.64549,-82.734566,True,True,dense
9.64549,-82.731825,True,False,standard
9.64549,-82.729083,True,False,standard
9.64549,-82.726342,True,False,standard
9.64549,-82.7236,True,False,standard
9.64549,-82.720858,True,False,standard
9.64549,-82.718117,True,False,standard
9.64549,-82.715375,True,False,standard
9.64549,-82.712634,True,False,standard
9.64549,-82.709892,True,False,standard
9.648193,-82.744162,True,True,dense
9.648193,-82.74142,True,True,dense
9.648193,-82.738678,True,True,dense
9.648193,-82.735937,True,True,dense
9.648193,-82.733195,True,True,dense
9.648193,-82.730454,True,False,standard
9.648193,-82.727712,True,False,standard
9.648193,-82.724971,True,False,standard
9.648193,-82.722229,True,False,standard
9.648193,-82.719488,True,False,standard
9.648193,-82.716746,True,False,standard
9.648193,-82.714005,True,False,standard
9.648193,-82.711263,True,False,standard
9.648193,-82.708522,True,False,standard
9.650895,-82.75924,True,False,standard
9.650895,-82.756498,True,False,standard
9.650895,-82.753757,True,True,dense
9.650895,-82.751015,True,False,standard
9.650895,-82.748274,True,False,standard
9.650895,-82.745532,True,True,dense
9.650895,-82.742791,True,True,dense
9.650895,-82.740049,True,True,dense
9.650895,-82.737308,True,True,dense
9.650895,-82.734566,True,True,dense
9.650895,-82.731825,True,True,dense
9.653598,-82.757869,True,True,dense
9.653598,-82.755128,True,True,dense
9.653598,-82.752386,True,True,dense
9.653598,-82.749645,True,True,dense
9.653598,-82.746903,True,True,dense
