master_name,master_category,master_area,osm_name,osm_category,osm_lat,osm_lon,osm_phone,osm_website,osm_email,osm_hours
"3 Bamboo Ecolodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
7 Ice Creams,restaurant,Puerto Viejo,ICE,unknown,9.65524,-82.752213,,,,
Adobe EasyCar Rent a Car,tour_company,Puerto Viejo,"Adobe Rent a Car, Puerto Viejo",services,9.656034,-82.754923,(506) 2750-0715,https://www.adobecar.com/en/rent-a-car-in-puerto-viejo-costa-rica/,puertoviejo@adobecar.com,Mo-Sa 08:00-17:00
Alamo Enterprise Car Rental,tour_company,Puerto Viejo,Alamo,services,9.656083,-82.753885,,,,
"Aldina's Guest House - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Alloro Jungle Villas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Almacen San Francisco - Playa Negra, Puerto Viejo, Limón, Costa Rica",shopping,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Almonds and Corals Boutique Hotel - Manzanillo, Limón, Costa Rica",hotel,Manzanillo,Exotic Boutique Hotel,hotel,9.658684,-82.749641,,,,
"Aloki Village - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
Amimodo Beach Rooms,hotel,Puerto Viejo,Amimodo,restaurant,9.658973,-82.750556,,,,
Amimodo Restaurant,restaurant,Puerto Viejo,Amimodo,restaurant,9.658973,-82.750556,,,,
"Angler's Lair - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,Escuela Playa Chiquita,services,9.637235,-82.707475,,,,
"AroCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Aroma Coffee Bar and Breakfast - Cahuita, Limón, Costa Rica",restaurant,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Arrecife Hotel y Restaurante - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",restaurant,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Asante Bistro & Café - Cahuita, Limón, Costa Rica",restaurant,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Atlantida Lodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Awa Beach Boutique Hotel - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",hotel,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Azania Bungalows - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Azania Oasis - Playa Cocles, Puerto Viejo, Limón, Costa Rica",vacation_rental,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Azul Bar and Grill - Playa Negra, Puerto Viejo, Limón, Costa Rica",restaurant,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Babilonia - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Bambutel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",hotel,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Banana Azul - Playa Negra, Puerto Viejo, Limón, Costa Rica",hotel,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Banco Nacional,services,Puerto Viejo,Banco Nacional,services,9.655132,-82.755415,,,,Mo-Fr 09:00-16:20
"Banco de Costa Rica Cahuita - Cahuita, Limón, Costa Rica",services,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Banco de Costa Rica Puerto Viejo,services,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Baya Baya Café - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Be My Guest Cabinas - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Beach Break Restaurant - Playa Cocles, Puerto Viejo, Limón, Costa Rica",restaurant,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Beach Hut,hotel,Puerto Viejo,Beach Hut,hotel,9.657733,-82.752862,2750-0895,,,
Best Travel Puerto Viejo,tour_company,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Big Tree Wildlife Refuge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",vacation_rental,Punta Uva,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
Bio Mercado Puerto Viejo,shopping,Puerto Viejo,Megasuper Puerto Viejo,shopping,9.655269,-82.754073,,,,
"Black Shack Surf School - Playa Cocles, Puerto Viejo, Limón, Costa Rica",services,Cocles,Hotel Puerto Viejo,hotel,9.65715,-82.753454,,,,
"Blessed House - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Negra,Calle Playa Negra,unknown,9.656424,-82.769348,,,,
Blue Dreams Hotel,,,Hotel Blue Conga,hotel,9.656391,-82.745432,+506 2750 0681,http://www.hotelblueconga.com/,,
"Boca Chica Bar Restaurante y Piscina - Cahuita, Limón, Costa Rica",restaurant,Cahuita,Nema Bar Restaurante,restaurant,9.658552,-82.751706,,,,
"Bohemian Monkey - Cahuita, Limón, Costa Rica",vacation_rental,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
Bread and Chocolate,restaurant,Puerto Viejo,Bread & Chocolate,restaurant,9.656418,-82.753841,,https://www.breadandchocolatecr.com/,,Tu-Sa 06:30-18:30; Su 06:30-14:30
"Brigitte's Ranch - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
"Bungalow Malú Lodge - Cahuita, Limón, Costa Rica",hotel,Cahuita,Cahuita,unknown,9.679779,-82.77224,,,,
