business_name,category,area,latitude,longitude,phone,normalized_phone,instagram_handle,facebook_url,website,google_maps_cid
Abba Home,,,9.661169,-82.7844491,83601553,,abbahome_puertoviejo,,https://www.abbahomepuertoviejo.com/,4461576710289322066
ALMA Masajes,,,9.6515636,-82.754872,61591721,,alma.masajes.spa,,https://www.instagram.com/almamassage_costarica/profilecard/?igsh=MTl2eWFneno5bnM1Ng==,1952261552637324801
Alojamiento kon-tiky,,,9.6486768,-82.7617116,83585999,,,,,2436293331676785956
Api-Rescate,,,9.63182,-82.7330943,,,,,,12888475778927218100
Ariel Apartment's,,,9.64799,-82.7410782,88002233,,,,https://www.facebook.com/share/a4N6Bhv8g9ScsUZV/?mibextid=WC7FNe,13949908967524151461
Arrecife El Chino,,,9.6582325,-82.7560996,,,,,,17999916450116929174
Beach Trail,,,9.6490852,-82.7346274,,,,,,1672049247961347392
Beauty Ritual Spa,,,9.6376573,-82.7266873,83148943,,beautyritualspa,,https://beauty-ritual1.webnode.cr/,5126079905553228488
BERACA,,,9.6564099,-82.7538572,27500258,,beraca,,,2501817113382200716
Blessed Hands Massage Therapy,,,9.6490337,-82.7381856,83226610,,,,,11342442517607475672
Buddy's Sloth Crossing,,,9.6629375,-82.7894375,,,crossing,,,7100005996183210934
Bugambilia Inn,,,9.6490458,-82.7513695,84276818,,,,,17729819013080646669
Cabañas KiaMiMi,,,9.6603717,-82.7840054,86092424,,,,,1705549831231309538
Cabina trepazul,,,9.6473033,-82.7494328,64110306,,trepazul,,,11625884884438770753
Cabinas Bambu,,,9.6518542,-82.7625121,88322639,,,,https://www.facebook.com/cabinasbambu?mibextid=ZbWKwL,17407111603426783648
Cabinas KiAMiMi,,,9.6603717,-82.7840054,86092424,,cabinaskiamimi,,,1705549831231309538
Cabinas KiMiMi,,,9.6603717,-82.7840054,86092424,,,,,1705549831231309538
Cabinas KlaMiMi,,,9.6603717,-82.7840054,86092424,,,,,1705549831231309538
Cabinas Yemanya,,,9.6421556,-82.7189254,27500110,,,,http://cabinasyemanya.com/,12696769290945837673
Café Jaguar & Art Gallery,,,9.6393866,-82.7137976,,,,,,1099770184487127337
Caribbean Blue Morpho Casitas,,,9.6534314,-82.7783071,89836677,,,,https://www.caribbeanbluemorpho.com/,15075381955885778012
Caribbean Hill Villas,,,9.636673,-82.7234956,60506088,,,https://www.facebook.com/profile.php,https://caribbeanhillvillas.com/,10446838691217537192
CaribeZen,,,9.6489332,-82.7700925,88390992,,caribezen,,https://caribezen.com/,16346096411354140739
Casa Alegra,,,9.6486486,-82.7630898,,,,,,704176135278923927
Casa Alegre,,,9.6486486,-82.7630898,,,,,,704176135278923927
Casa Amor,,,9.6512099,-82.7597737,84516101,,,,,2049439108129397134
Casa Antorcha,,,9.6307068,-82.721682,83396582,,,,,3140302717225770813
Casa Canopy,,,9.6313,-82.712349,,,,,,9228433576839534036
Casa Lily,,,9.6394816,-82.7084826,,,,,,316298798085648093
Casa Miluca,,,9.6549173,-82.7722464,89536016,,,,,17469621114106254322
Casa Miluco,,,9.6519228,-82.7490513,,,,,,1887854985612918255
Casa Olingo,,,9.6485145,-82.737029,87011895,,,,,15130039431868872191
Casa Pallaita,,,9.6494503,-82.7518005,,,,,https://br.bluepillow.com/search/627d265ddf4f49af9b34a708?dest=bkng&cat=House&lat=9.64945&lng=-82.7518&language=pt,12261963239237230570
Casa Pallalita,,,9.6494503,-82.7518005,,,,,https://br.bluepillow.com/search/627d265ddf4f49af9b34a708?dest=bkng&cat=House&lat=9.64945&lng=-82.7518&language=pt,12261963239237230570
Casa Palliata,,,9.6479989,-82.7520805,,,,,https://www.facebook.com/Casa-Palliata-101018011304702/,3067085546718993771
Casa Pallita,,,9.6494503,-82.7518005,,,,,https://br.bluepillow.com/search/627d265ddf4f49af9b34a708?dest=bkng&cat=House&lat=9.64945&lng=-82.7518&language=pt,12261963239237230570
Casa Shanti,,,9.6341174,-82.7176406,,,,,,1532267197232448530
casa tia zeidy,,,9.6454227,-82.736209,87713361,,,,,1467139456314837512
Casa vacacional happy day beach house,,,9.6576684,-82.7446919,89518604,,,,,11284617851322192684
Casa Vosi,,,9.6433157,-82.7355551,,,,,,14746104939384196054
Casas Sloth & Butterfly,,,9.6547925,-82.7501871,,,,,,6852082090485791353
Casita Tucan,,,9.631913,-82.7166009,,,,,,8515345812121137688
Casitas Batsú,,,9.6361824,-82.7141838,+34644446723,,,,https://www.instagram.com/casitasbatsu_costarica/,1201615432871305998
Casitas del Bosque,,,,,,,,,,
Cirrus Sky Paragliding CR,,,9.6483809,-82.7338131,71091388,,,,https://cirrusskyparaglidi.wixsite.com/cirrus-paragliding-c,906367207779863842
Cubali Beach,,,9.6421444,-82.7165005,,,,,,11408791647006779441
Doctah Herbalist,,,9.6330449,-82.7182417,70618099,,,,,7437765293747491582
Explora Caribe CR,,,9.6545763,-82.7865127,62043386,,,,,3648769552104707896
Finca Darai,,,9.6320105,-82.7381005,,,,,,8690304503274970919
FISIOTERAPIA Agustin cuya,,,9.6354416,-82.7293933,63763084,,,,https://acuyafisio.com/,18425416724501171270
Fruit Houses,,,9.6302683,-82.7339791,87335734,,houses,,,5112397613028029900
Global Stones finca conservación,,,9.6372916,-82.7415327,,,,,,7062771685360018807
Hawaiian Massage,,,9.6516248,-82.7396558,88002367,,,,https://lomimassage.one/,16307257612295998249
Hidden Viewpoint,,,9.6423125,-82.7475625,87855007,,,,,2607119743059473489
Hospedaje Dos Sueños,,,,,,,,,,
Izzy Rides CR,,,9.6375578,-82.7185952,88992942,,,,https://www.instagram.com/izzyridescr/,9895085162643105852
Jungalow,,,9.6600126,-82.7816274,,,,,,3799140751205186004
Jungla del Caribeño,,,9.6522063,-82.7541479,60264782,,jungla,,,8356543483034618055
Kä Luxury Caribbean,,,9.6410909,-82.7348344,,,,,,7538221567368513085
Ka Namu,,,9.6531231,-82.7543983,89781035,,,https://www.facebook.com/profile.php,http://www.namuhotelpuertoviejo.com/,18141110668997261824
Katuk,,,9.6512745,-82.7426186,,,,,https://www.instagram.com/katuk.puertoviejo?igsh=Ynd3YnEzYmZ6Mmt3,5933448960817825235
LA CHASCONA,,,9.6460963,-82.7424391,60567859,,,,,7444463108124902177
La Isla Permaculture Farm,,,9.6495033,-82.7641365,+506 8886 8530,,,,,7972003479335139796
La loma de burrito,,,9.6290705,-82.722262,,,la_loma,,,11481951678172081848
La Paloma Studio en Coclès con cocina a,,,9.6433356,-82.7384602,63692978,,,,,3738318817422763383
La Selva PV Events,,,9.6514016,-82.7523366,,,,,https://www.instagram.com/laselva_pv/?hl=es,8923069820182897353
Lapaluna,,,,,,,lapalunacostarica,,,
Mishka Lodge,,,9.654644,-82.784708,89466270,,,,http://www.mishkhalodge.com/,13735728552511903272
Morpho Casitas,,,9.6534314,-82.7783071,89836677,,,,https://www.caribbeanbluemorpho.com/,15075381955885778012
Nana's Place Beach House,,,9.6295989,-82.7310521,87820610,,,,,14542003755869509189
NAO,,,9.6538697,-82.7447763,86684190,,nao_cr,,,17897302561811397380
Paloma Studio,,,9.6433356,-82.7384602,63692978,,palomastudiocr,,,3738318817422763383
Paragliding CR,,,9.6483809,-82.7338131,71091388,,,,https://cirrusskyparaglidi.wixsite.com/cirrus-paragliding-c,906367207779863842
Paraiso Bohemio,,,9.6655692,-82.7824679,,,,,,2630412520630926072
Pipa's Beach,,,9.6583645,-82.7722893,,,,,,11489327612040758816
Playa Estiven,,,9.6426057,-82.7150137,,,,,,7002874623913647725
Pure Life Sanctuary,,,9.6337043,-82.7337504,,,,,https://purelifesanctuary.com/,8563195775533048594
Quinta Guarumo,,,9.6473051,-82.7424407,,,quinta,,,1452058410293289943
Repazul,,,9.6580734,-82.7733018,27502035,,,https://facebook.com/BananaAzul,http://azulbeachclub.com/,2898935241958549311
RETIRO VERDE,,,9.6371979,-82.7387421,88247367,,,,https://thehoteldetail.eu/residencias-10-85-costa-rica,18016775300084560342
Rico Tico Tours,,,9.6619045,-82.7885904,71115089,,,,http://www.ricoticotours.com/,1177355124524067687
Rio Home,,,9.6438612,-82.7321521,85824000,,,,https://www.casariocr.com/,4666775397025577928
Rustika Lodge,,,9.6552385,-82.7691739,21027351,,,,,17548818634857466246
Shenanigans–Eat Drink Dink Drive,,,9.6393957,-82.71685,89568669,,,https://www.facebook.com/WahooVacations,https://wahoovacations.com/shenanigans/,15407971963095007347
Shenanigans–Fat Drink Dink Drive,,,9.6529399,-82.7736678,,,,,,6047083801083296069
Siren Sanctuary,,,9.6368821,-82.7136277,,,siren_sanctuary,,https://www.instagram.com/sirensanctuarycostarica/,4788751592765742715
Sloth Crossing,,,9.6629375,-82.7894375,,,,,,7100005996183210934
Sloth Massage,,,9.6564261,-82.7434598,61236473,,,,,7521506711555171699
Soda Shekina,,,9.6548801,-82.7539308,27500549,,,,https://www.facebook.com/Shekinapuertoviejo/,11963087103971381770
Soda Títeres,,,9.6394455,-82.7132345,64393820,,,,https://www.instagram.com/sodalostiteres?igsh=MXJ0M3hiZDcxcmtvOA==,15397983693551523879
Spiral,,,9.663423,-82.7795402,,,,,,15223674072358364809
Talamanca Organica Cacao & Fine Chocolate,,,9.6355926,-82.7186266,85632790,,,,,2447883937820760770
Talamanca Viewpoint,,,9.6565112,-82.7411367,,,,,,6904706285400062631
Tattoo Studio 33,,,9.6552364,-82.7417082,,,,,,7714062364033594701
The Amazing Treehouse and Nature,,,9.6521592,-82.7473802,86282663,,,https://www.facebook.com/natureobservatorio,http://www.natureobservatorio.com/,11842476449595104705
The Amazing Treehouse and Nature,,,,,,,,,,
The Bush,,,9.6330449,-82.7182417,70618099,,,,,7437765293747491582
The Bush Doctah Herbalist,,,9.6330449,-82.7182417,70618099,,,,,7437765293747491582
