name,category,lat,lon,phone,website,email,hours,distance_km
Casa Vikingo,hostel,9.657184,-82.775438,,,,,2.472
Beta life eco hostel,hostel,9.656033,-82.75439,,,,Mo-Su 08:00-20:00,0.191
The Lazy Loft Beach Hostel,hostel,9.658489,-82.752122,,,,,0.4
Maya Hostel,hostel,9.639205,-82.732026,,,,,2.893
Selina Puerto Viejo,hostel,9.656656,-82.743386,,https://www.selina.com/costa-rica/puerto-viejo/,,,1.07
One Love Hostel,hostel,9.650953,-82.762382,,,,,1.123
Selina Hostel Puerto Viejo,hostel,9.656102,-82.742106,+50688727230,https://selina.com/,,,1.2
Backpackers Puerto Viejo,hostel,9.657612,-82.751974,,,,,0.311
The Lion Fish,hostel,9.656377,-82.754638,2750 2143,,,,0.236
Hostel Kinkajou,hostel,9.656348,-82.751646,,,,,0.211
Hostel Kalunai,hostel,9.655675,-82.750589,,,,,0.275
Cabinas Rio Cocles,hotel,9.648737,-82.735038,,,,,2.089
Cabinas El Tesoro,hotel,9.653518,-82.740977,,,,,1.328
Backpacker Sunrise,hotel,9.656482,-82.754721,,,,,0.251
Jordan's Jacuzzi Suites,hotel,9.658569,-82.750661,,,,,0.472
Casa chiquita,hotel,9.6367,-82.709985,,,,,5.136
Finca Ardilla,hotel,9.62046,-82.73529,,,,,4.303
Aiyana Lodge,hotel,9.656437,-82.746106,,,,,0.772
Kinawe Cabinas,hotel,9.648193,-82.777733,,,,,2.815
Cabinas WB,hotel,9.65368,-82.767174,,,,,1.561
Cabinas Guana Art Shop,hotel,9.655593,-82.753492,,,,,0.085
Calalu Cabinas,hotel,9.657016,-82.748628,,,,,0.529
Camarona Caribbean Lodge,hotel,9.657024,-82.745711,,,,,0.83
Casa Planet Harley,hotel,9.637234,-82.733647,,,,,2.899
Cashew Hill Jungle Lodge,hotel,9.653072,-82.753523,,,,,0.222
Chimuri Beach Cottages,hotel,9.65632,-82.769868,,,,,1.855
Coco Congo,hotel,9.653914,-82.762306,,,,,1.027
El Tucan Jungle Lodge,hotel,9.638097,-82.737115,,,,,2.562
Hotel Punta Cocles,hotel,9.63783,-82.718114,,,,,4.274
Hotel Punta Cocles,hotel,9.642472,-82.721147,,,,,3.759
Italia Villas,hotel,9.63806,-82.706166,,,,,5.469
Jardín Miraflores Lodge,hotel,9.639525,-82.713281,,,,,4.682
Pizote Lodge,hotel,9.651845,-82.760286,,,,,0.872
Sunrise Backpackers Hostel,hotel,9.656392,-82.754682,,,,,0.241
Vago's Place,hotel,9.637419,-82.737521,,,,,2.589
El Tucan Jungle Lodge,hotel,9.640142,-82.734035,,,,,2.656
Blue Butterfly,hotel,9.655607,-82.751525,,,,,0.175
Cabinas Olé Caribe,hotel,9.641022,-82.727066,,,,,3.24
Jungle Green House,hotel,9.635019,-82.712984,,,,,4.917
Casa Cerise,hotel,9.640169,-82.715403,,,,,4.439
Home Naranjo,hotel,9.634586,-82.72787,,,,,3.57
Casa Naranjo,hotel,9.634545,-82.727863,,,,,3.573
Puerto Viejo Club & Casitas,hotel,9.655613,-82.773106,,,,,2.205
Sonora Jungle Beach Retreat,hotel,9.659393,-82.787194,,,,,3.78
Jungle Beach Bungalow,hotel,9.648227,-82.74058,,,,,1.556
Finca Las Hormigas,hotel,9.613634,-82.729833,+506 8800 4474,https://www.fincalashormigas.com/,hello@fincalashormigas.com,,5.254
Hotel Indalo,hotel,9.656355,-82.750528,,,,,0.31
Lizard King Resort,hotel,9.658823,-82.750128,+506 2750 0614,https://lizardkinghotel.com/,,,0.529
Tierra de Sueños Lodge,hotel,9.637985,-82.710571,+50627500378,www. tierradesuenoslodge.com,info@tierradesuenoslodge.com,,5.021
Cabinas Yucca,hotel,9.659139,-82.750077,,,,,0.561
Cabinas Grant,hotel,9.656004,-82.754946,,,,,0.241
Hotel Tamara,hotel,9.657201,-82.750745,,,,,0.348
Cabinas Kiré,hotel,9.65843,-82.74827,,,,,0.644
Cabinas Garibaldi,hotel,9.650329,-82.737251,,,,,1.803
Hotel Banana Azul,hotel,9.658568,-82.773518,+011-506-2750-2035,https://www.bananaazul.com/,,,2.284
Natural Puerto Viejo,hotel,9.658111,-82.773092,,,,,2.229
Roca Mar Apart Hotel,hotel,9.655789,-82.750748,,,,,0.262
Restaurante Isma,restaurant,9.656365,-82.75486,,,,,0.254
Restaurante Miss Sam,restaurant,9.656141,-82.752314,,,,,0.148
Restaurante El Dorado,restaurant,9.657224,-82.754042,,,,,0.272
GLOW,restaurant,9.657382,-82.753616,,,,,0.273
Pollo Rapido,restaurant,9.655563,-82.754178,,,,,0.144
Stanford Lazy Mon,restaurant,9.658499,-82.752232,,,,,0.398
El Paso,restaurant,9.659054,-82.750152,,,,,0.548
Alice,restaurant,9.637877,-82.711723,,,,,4.909
BriBri Springs Brewery,restaurant,9.653806,-82.758475,,,,,0.615
Tiaré,restaurant,9.658787,-82.748554,,,,Tu-Su 07:30-14:00,0.644
Lecheria Las Lapas,restaurant,9.656212,-82.755865,,,,,0.342
Soda Caribbean,restaurant,9.65609,-82.753399,,,,,0.129
Solo Bueno,restaurant,9.646511,-82.782972,,,,,3.418
Tamara Caribbean Restaurant,restaurant,9.657308,-82.753838,,,,,0.273
Panadería y Cafetería,restaurant,9.65631,-82.755007,,,,,0.264
Zaika Indian Cuisine Bar & Grill,restaurant,9.643426,-82.726368,,,,,3.191
Soda Elisabeth,restaurant,9.656935,-82.753233,,,,,0.217
Soda Monarca,restaurant,9.644249,-82.731001,,,,,2.692
Apetito Express,restaurant,9.648134,-82.790534,,,,,4.185
Soda Fiquiimu,restaurant,9.656686,-82.770289,,,,,1.904
Isla Cocteles,restaurant,9.652107,-82.738947,,,,,1.574
Frio Divino,restaurant,9.658759,-82.750411,,,,,0.505
Puerto Viejo de Talamanca,restaurant,9.649654,-82.775088,+506 8447-7485,https://www.facebook.com/cholasplace,,"We,Fr-Sa,Th,Mo,Su 11:00-22:00",2.493
Princesa del Mar,restaurant,9.657525,-82.753411,2750 3195,,,,0.284
La Misión,restaurant,9.656101,-82.75585,,,,,0.336
Koi Dorado,restaurant,9.654221,-82.766373,,,,,1.468
Bikini Bar Restaurant & Hostel,restaurant,9.65708,-82.753974,,,,,0.255
Soda Riquísimo,restaurant,9.657422,-82.753975,,,,,0.29
Sel & Sucre,restaurant,9.655568,-82.754811,,,,,0.208
Outback-Jack's,restaurant,9.656284,-82.755584,,,,,0.317
Pizzeria Boruca,restaurant,9.656875,-82.754619,,,,,0.274
Black & White,restaurant,9.658219,-82.75195,,,,,0.376
Marisquería Puerto Viejo,restaurant,9.658258,-82.751909,,,,,0.382
Honua Poke,restaurant,9.658366,-82.751819,,,,,0.396
Restaurant Bamboocha,restaurant,9.644476,-82.729672,,,,,2.812
Le Numu,restaurant,9.643818,-82.727926,,,,,3.017
El Ranchón,restaurant,9.650079,-82.801305,,,,,5.323
Jammin Vegan Restaurant,restaurant,9.659042,-82.749386,,,,Tu-Sa 14:00-21:00,0.599
Playa Chiquita Paradise,restaurant,9.64066,-82.711396,,,,,4.831
DIWO,restaurant,9.639004,-82.713464,,,,We-Mo 17:30-21:30,4.685
MaNú,services,9.658804,-82.749449,,,,,0.575
Escuela Këköldi,services,9.617042,-82.769998,,,,,4.614
policía,services,9.64937,-82.776093,,,,,2.608
Ecobikes del Caribe,services,9.65875,-82.75048,,,,,0.5
Correos de Costa Rica,services,9.654147,-82.766584,,,,,1.492
Clínica CCSS Dra. Rosa León Chang,services,9.653166,-82.798262,,,,,4.966
Escuela Hone Creek,services,9.652739,-82.798976,,,,,5.046
Liceo Rural de Puerto Viejo,services,9.654642,-82.756216,,,,,0.355
Escuela Puerto Viejo,services,9.654339,-82.75361,,,,,0.099
Ciclo la Plaza,services,9.65507,-82.754211,,,,,0.133
Gallo Bikes & Motos,services,9.658086,-82.752166,,,,,0.355
Escuela Patiño,services,9.647189,-82.801088,,,,,5.343
Policía Turística de Puerto Viejo,services,9.654554,-82.766585,,,,24/7,1.49
Ferretería San Franciaco,shopping,9.653319,-82.768478,,,,,1.707
Saturday feria,shopping,9.657117,-82.754575,,,,,0.292
Coco's Tienda,shopping,9.65566,-82.755299,,,,,0.262
Ivonitos Place,shopping,9.657512,-82.753213,,,,,0.28
Planeta Verde,shopping,9.657228,-82.754735,,,,,0.312
ciclo puerto,shopping,9.655079,-82.754719,,,,,0.189
M'Shell,shopping,9.654831,-82.75461,,,,,0.177
La Negrita,shopping,9.653165,-82.762516,,,,,1.063
Casa del Chocolate,shopping,9.648052,-82.7625,,,,,1.297
Paula's and Daniel's Juice Bar,shopping,9.656763,-82.744,,,,,1.006
Súper Negro,shopping,9.656035,-82.798271,,,,Mo-Su 09:00-21:00,4.964
Choco,shopping,9.657295,-82.753583,+506 600 7258,https://cho.co.cr,info@cho.co.cr,,0.263
El Rincón del Pan,shopping,9.643105,-82.723299,,,,,3.514
Súper Cocles,shopping,9.644817,-82.73421,,,,,2.35
Panaderia Tradicional,shopping,9.644207,-82.731117,,,,,2.682
Super Pirikiki.,shopping,9.644396,-82.733439,,,,Su-Sa 07:00-21:00,2.447
Soul Zen Massage,shopping,9.652314,-82.764981,,,,,1.347
Bustickets Mepe,shopping,9.656827,-82.755681,,,,Mo-Su 07:00-16:45,0.357
Rios Vegan Food,shopping,9.656427,-82.754648,,,,Mo-Fr 07:00-19:00; Sa-Su off,0.24
Explorades Outdoors,shopping,9.658944,-82.75059,,,,,0.512
Panaiera,shopping,9.655541,-82.755411,,,,,0.271
Value Market,shopping,9.656779,-82.754569,,,,,0.262
Talamanca Adventures,shopping,9.657245,-82.753848,,,,,0.266
Multicentro Puerto Viejo,shopping,9.657259,-82.75465,,,,,0.31
Terraventuras,shopping,9.655851,-82.75507,,,,,0.246
Black Beach,shopping,9.655424,-82.755421,,,,,0.27
Lulu Berlu Art Gallery,shopping,9.655831,-82.754128,,,,,0.154
Palí,shopping,9.655696,-82.79812,,,,,4.947
El Colono,shopping,9.653866,-82.797001,,,,,4.825
Not Couture,shopping,9.656441,-82.75458,,,,,0.236
Bazar Priscila,shopping,9.656757,-82.755715,,,,,0.356
Ciclo Deportivo,shopping,9.655888,-82.753226,,,,,0.102
Lavanderia el Sol,shopping,9.655854,-82.753555,,,,,0.113
Lungo Mare Souvenir,shopping,9.657507,-82.753207,,,,,0.28
Super Bryany,shopping,9.657648,-82.746226,,,,,0.799
Super Villa Del Caribe,shopping,9.643042,-82.722492,,,,,3.599
Servicentro Zúñiga,shopping,9.650425,-82.801483,,,,,5.339
El Duende Super Gourmet,shopping,9.638611,-82.712799,,,,,4.769
Taller Gabriel,shopping,9.649728,-82.801864,,,,,5.388
Súper Hone Creek,shopping,9.652302,-82.79775,,,,,4.915
Súper sk,shopping,9.654388,-82.766149,,,,,1.443
nature park - Vivero,tour_company,9.650457,-82.759623,,,,,0.884
Mirador Piedra Cocles,tour_company,9.656574,-82.741206,,,,,1.305
Increíble vista detrás,tour_company,9.64365,-82.723403,,,,,3.481
Tourist Information,tour_company,9.63814,-82.712099,,,,,4.86
