pvs_name,osm_name,match_score,pvs_category,osm_category,pvs_area,osm_lat,osm_lon,pvs_instagram,pvs_phone,pvs_verified,pvs_url
Casa Wolaba,Casa Wolaba,1.0,hostel,hostel,Puerto Viejo,9.6564853,-82.7518408,casa.wolaba,+506 6135 2969,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-wolaba/
El Clan Hostel,El Clan,0.7,hostel,hotel,Puerto Viejo,9.6572598,-82.7522685,elclan_hostel,+506 6374 1221,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/el-clan-hostel/
Hotel Puerto Viejo,Backpackers Puerto Viejo,0.7,hostel,hostel,Puerto Viejo,9.657612,-82.7519744,hotelpuertoviejocr,+506 2750 0620,2026-03-27,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-puerto-viejo/
Oasis Beachfront Hostel,Oasis,0.7,hostel,vacation_rental,Puerto Viejo,9.658849,-82.7486778,oasis.hostel.pv,+506 8631 9322,2026-03-31,https://www.puertoviejosatellite.com/en/puerto-viejo/oasis-beachfront-hostel/
La Ruka Hostel,La Ruka Hostel,1.0,hostel,hostel,Puerto Viejo,9.6578238,-82.7473249,larukahostel,+506 2750 0617,2026-03-31,https://www.puertoviejosatellite.com/en/puerto-viejo/la-ruka-hostel/
La Tribu,La Tribu - solo para mujeres,0.7,hostel,hostel,Puerto Viejo,9.657644,-82.7516632,latribuhostelcr,+506 8809 9776,2026-04-02,https://www.puertoviejosatellite.com/en/puerto-viejo/la-tribu/
"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Hostel Puerto Viejo,0.7,hostel,hostel,Cocles,9.656102,-82.7421064,tastydayz,+506 2750 0128,2026-02-19,https://www.puertoviejosatellite.com/en/cocles/tasty-dayz-hostel/
"Yuyo Huelal Totga - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hostel,hostel,Cocles,9.6566557,-82.7433858,huelal_totga,+506 8983 4058,2025-05-24,https://www.puertoviejosatellite.com/en/cocles/yuyo-huelal-totga/
"Madre Selva Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Hostel Puerto Viejo,0.7,hostel,hostel,Cocles,9.656102,-82.7421064,madreselvahostel,+506 2215 2573,2025-12-16,https://www.puertoviejosatellite.com/en/cocles/madre-selva-jungle-hostel/
"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Puerto Viejo,0.7,hostel,hostel,Cocles,9.6566557,-82.7433858,playa506,+506 2750 3158,2025-08-17,https://www.puertoviejosatellite.com/en/cocles/playa-506/
"Smile Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Selina Hostel Puerto Viejo,0.7,hostel,hostel,Cocles,9.656102,-82.7421064,smilehostelcr,,2026-05-04,https://www.puertoviejosatellite.com/en/cocles/smile-jungle-hostel/
