name,category,lat,lon,tags
Hotel Los Sueños,hostel,9.6548104,-82.7550824,"{""addr:city"": ""Puerto Viejo"", ""addr:street"": ""Calle 211"", ""name"": ""Hotel Los Sueños"", ""source"": ""www.hotellossuenos.com"", ""tourism"": ""hostel"", ""website"": ""www.hotellossuenos.com""}"
Casa Vikingo,hostel,9.6571842,-82.7754376,"{""name"": ""Casa Vikingo"", ""tourism"": ""hostel""}"
Playa 506,hostel,9.6499184,-82.7363438,"{""check_date"": ""2024-09-27"", ""internet_access"": ""wlan"", ""name"": ""Playa 506"", ""name:en"": ""Playa 506"", ""name:es"": ""Playa 506"", ""tourism"": ""hostel"", ""website"": ""https://playa506.com/""}"
Beta life eco hostel,hostel,9.6560326,-82.7543898,"{""addr:street"": ""Calle 213"", ""name"": ""Beta life eco hostel"", ""name:es"": ""Beta life eco hostel"", ""opening_hours"": ""Mo-Su 08:00-20:00"", ""tourism"": ""hostel""}"
The Lazy Loft Beach Hostel,hostel,9.6584886,-82.7521221,"{""name"": ""The Lazy Loft Beach Hostel"", ""tourism"": ""hostel""}"
Maya Hostel,hostel,9.6392054,-82.732026,"{""name"": ""Maya Hostel"", ""tourism"": ""hostel""}"
One Love Hostel,hostel,9.6509528,-82.7623817,"{""name"": ""One Love Hostel"", ""tourism"": ""hostel""}"
El Faro 13,hostel,9.6560711,-82.7479054,"{""name"": ""El Faro 13"", ""tourism"": ""hostel""}"
Cabinas guarana,hostel,9.655749,-82.7540007,"{""name"": ""Cabinas guarana"", ""tourism"": ""hostel""}"
Villa Bukë,hostel,9.6551613,-82.7720541,"{""name"": ""Villa Bukë"", ""tourism"": ""hostel""}"
Coco Loco Lodge,hotel,9.6531516,-82.7544408,"{""amenity"": ""reception_desk"", ""name"": ""Coco Loco Lodge"", ""tourism"": ""hotel""}"
Hotel La Isla Inn,hotel,9.651895,-82.7389236,"{""name"": ""Hotel La Isla Inn"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel"", ""wikidata"": ""Q112020943""}"
Hotel Cariblue,hotel,9.6504068,-82.7394595,"{""name"": ""Hotel Cariblue"", ""phone"": ""2750-0035"", ""source"": ""KG Ground Survey 2015;http://www.cariblue.com/index.php"", ""tourism"": ""hotel"", ""website"": ""https://www.cariblue.com/""}"
Cabinas Rio Cocles,hotel,9.6487368,-82.735038,"{""name"": ""Cabinas Rio Cocles"", ""tourism"": ""hotel""}"
Cabinas El Tesoro,hotel,9.6535176,-82.7409774,"{""name"": ""Cabinas El Tesoro"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Backpacker Sunrise,hotel,9.6564823,-82.7547211,"{""name"": ""Backpacker Sunrise"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
Kaya's Place,hotel,9.6537948,-82.7585358,"{""designation"": ""hotel - cabinas"", ""name"": ""Kaya's Place"", ""source"": ""www.kayasplace.com"", ""tourism"": ""hotel""}"
Jordan's Jacuzzi Suites,hotel,9.6585688,-82.7506613,"{""name"": ""Jordan's Jacuzzi Suites"", ""tourism"": ""hotel""}"
Las Mariposas,hotel,9.6446176,-82.7194702,"{""name"": ""Las Mariposas"", ""tourism"": ""guest_house"", ""website"": ""https://www.facebook.com/CabinasLasMariposas""}"
Totem Hotel Resort & Restaurant,hotel,9.6462422,-82.7322216,"{""name"": ""Totem Hotel Resort & Restaurant"", ""phone"": ""2750-0758"", ""source"": ""http://www.totemhotel.com/es"", ""tourism"": ""hotel"", ""website"": ""http://www.totemhotel.com/es/""}"
Finca Ardilla,hotel,9.6204604,-82.7352903,"{""name"": ""Finca Ardilla"", ""tourism"": ""hotel""}"
Aiyana Lodge,hotel,9.6564372,-82.7461056,"{""addr:city"": ""Puerto Viejo de Talamanca"", ""addr:postcode"": ""70403"", ""name"": ""Aiyana Lodge"", ""smoking"": ""no"", ""tourism"": ""hotel""}"
Cabinas WB,hotel,9.6536799,-82.7671737,"{""name"": ""Cabinas WB"", ""source"": ""KG Ground Survey 2015"", ""tourism"": ""hotel""}"
