business_name,category,area,latitude,longitude,instagram_handle,instagram_url,phone,normalized_phone,website,facebook_url,google_maps_cid,verified_date,url
Hotel and Hostel Agapi,hostel,Puerto Viejo,9.656891,-82.743439,agapi.pv,https://www.instagram.com/agapi.pv,+506 8872-7230,+50688727230,,,7492180577056289429,2026-03-14,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-and-hostel-agapi/
Kalunay Hostel,hostel,Puerto Viejo,9.655647,-82.750317,,,+506 2750 3168,+50627503168,,https://www.facebook.com/KalunayHostel/,,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/kalunay-hostel/
Pagalu Hostel,hostel,Puerto Viejo,9.65505,-82.754458,,,+506 2750 1930,+50627501930,,https://www.facebook.com/pagaluhostel,16584181162103313991,2026-03-31,https://www.puertoviejosatellite.com/en/puerto-viejo/pagalu-hostel/
Rocking J's Hostel,hostel,Puerto Viejo,9.658081,-82.746314,,,+506 2750-0665,+50627500665,,https://www.facebook.com/rockingjshostel,2849080077759072513,2026-04-03,https://www.puertoviejosatellite.com/en/puerto-viejo/rocking-js-hostel/
Roots Family Hostel,hostel,Puerto Viejo,9.65675,-82.752988,,,,,,https://www.facebook.com/RootsPuertoViejo,15012354361205552676,2026-03-30,https://www.puertoviejosatellite.com/en/puerto-viejo/roots-family-hostel/
Soul Rebel Hostel,hostel,Puerto Viejo,9.657554,-82.751945,soulrebelhostel,https://www.instagram.com/soulrebelhostel,+506 8891 8069,+50688918069,,,1470909826947842376,2026-05-21,https://www.puertoviejosatellite.com/en/puerto-viejo/soul-rebel-hostel/
Black Bamboo,hotel,Puerto Viejo,9.655909,-82.748043,blackbamboo_bedandbreakfast,https://www.instagram.com/blackbamboo_bedandbreakfast,+506 8306 5489,+50683065489,,https://www.facebook.com/Black-Bamboo-892726704246164/,9649993079907777710,2026-03-10,https://www.puertoviejosatellite.com/en/puerto-viejo/black-bamboo/
Cabinas Lika,hotel,Puerto Viejo,9.654925,-82.754631,,,+506 2750 0209,+50627500209,,,1111954385529331281,2026-02-24,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-lika/
Cabinas Mitchaelles,hotel,Puerto Viejo,9.65625,-82.751822,,,+506 8913 5713,+50689135713,,https://www.facebook.com/profile.php?id=100057273497525,,2026-03-21,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-mitchaelles/
Cabinas Popular,hotel,Puerto Viejo,9.65643,-82.751674,,,+506 2750 0087,+50627500087,,,,2026-03-06,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-popular/
Cabinas Talamanca,hotel,Puerto Viejo,9.658405,-82.749143,,,+506 2750 0425,+50627500425,,,,2026-01-07,https://www.puertoviejosatellite.com/en/puerto-viejo/cabinas-talamanca/
Casa Ana Kimba,hotel,Puerto Viejo,9.657087,-82.749872,,,+506 8888 1968,+50688881968,,,13823455026627310391,2026-03-01,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-ana-kimba/
Casa Bohö,hotel,Puerto Viejo,9.657995,-82.748907,casabohocr,https://www.instagram.com/casabohocr,+506 8715 1771,+50687151771,,,8284218495825622354,2026-03-19,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-boho/
La Casa de Rolando,hotel,Puerto Viejo,9.656002,-82.751856,,,+506 2750 0339,+50627500339,,https://www.facebook.com/profile.php?id=100057580384576,,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/la-casa-de-rolando/
Casa Dolce Vita,hotel,Puerto Viejo,9.658089,-82.751514,,,+506 2750-0207,+50627500207,,https://www.facebook.com/cabinascasadolcevita,,2026-03-14,https://www.puertoviejosatellite.com/en/puerto-viejo/casa-dolce-vita/
Exotic Lodge,hotel,Puerto Viejo,9.658765,-82.749794,,,+506 6296 7557,+50662967557,,,8353070716309943884,2026-03-08,https://www.puertoviejosatellite.com/en/puerto-viejo/exotic-lodge/
Family Hotel,hotel,Puerto Viejo,9.657278,-82.750789,familyhotelpv,https://www.instagram.com/familyhotelpv,+506 8880 0338,+50688800338,,,16910431421739661204,2025-06-09,https://www.puertoviejosatellite.com/en/puerto-viejo/family-hotel/
Hostal Cecilia,hotel,Puerto Viejo,9.657362,-82.746545,,,+506 2750 0302,+50627500302,,https://www.facebook.com/profile.php?id=100063539262338,11938523891103686222,2026-03-22,https://www.puertoviejosatellite.com/en/puerto-viejo/hostal-cecilia/
Hotel Casa Vito,hotel,Puerto Viejo,9.657561,-82.745573,,,+506 8697 7557,+50686977557,,https://www.facebook.com/hotelcasavito,9002517690753030013,2026-03-19,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-casa-vito/
Hotel Infiniti,hotel,Puerto Viejo,9.655938,-82.75219,hotel.infiniti,https://www.instagram.com/hotel.infiniti,+506 6055-5149,+50660555149,,,17030940291864121871,2026-03-24,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-infiniti/
Hotel Mandacarú,hotel,Puerto Viejo,9.658684,-82.750289,hotelmandacaru.puertoviejo,https://www.instagram.com/hotelmandacaru.puertoviejo,+506 2750-0232,+50627500232,,https://www.facebook.com/people/Hotel-Mandacar%C3%BA-Puerto-Viejo/61557680849228/,11442698979892556145,2026-03-15,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-mandacaru/
Hotel Pura Vida,hotel,Puerto Viejo,9.65532,-82.753315,,,+506 8570 9768,+50685709768,,https://www.facebook.com/Hotel-Pura-Vida-130527740457772/,5253894431951431984,2026-03-21,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-pura-vida/
Hotel Tropical,hotel,Puerto Viejo,9.656609,-82.751619,,,+506 2750 2064,+50627502064,,https://www.facebook.com/rolfblancketours,,2026-04-02,https://www.puertoviejosatellite.com/en/puerto-viejo/hotel-tropical/
Namu Garden Hotel and Spa,hotel,Puerto Viejo,9.653123,-82.754398,namugardenhotelspa,https://www.instagram.com/namugardenhotelspa,+506 8789 6070,+50687896070,,https://www.facebook.com/profile.php?id=61550604153566,18141110668997261824,2026-03-28,https://www.puertoviejosatellite.com/en/puerto-viejo/namu-garden-hotel-and-spa/
Sueño Grande Bed and Breakfast,hotel,Puerto Viejo,9.657792,-82.750629,suenograndepv,https://www.instagram.com/suenograndepv,+506 7205 9392,+50672059392,,https://www.facebook.com/DreamBiginPV,5641578059331896840,2026-04-01,https://www.puertoviejosatellite.com/en/puerto-viejo/sueno-grande-bed-and-breakfast/
Umami Hotel Garden Spa,hotel,Puerto Viejo,9.655954,-82.750633,,,+506 2750 3200,+50627503200,,https://www.facebook.com/umamihotel,9701222676819002481,2026-03-26,https://www.puertoviejosatellite.com/en/puerto-viejo/umami-hotel-garden-spa/
"Orgánico Punta Riel - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,9.671793,-82.80429,,,+506 8828 1426,+50688281426,,,2005484154619350459,2025-10-02,https://www.puertoviejosatellite.com/en/hone-creek/organico-punta-riel/
"Rancho Tranquilo - Hone Creek, Limón, Costa Rica",hotel,Hone Creek,9.657372,-82.801176,rt_hospedaje,https://www.instagram.com/rt_hospedaje,+506 2756 8198,+50627568198,,https://www.facebook.com/profile.php?id=100085466981177,3497932895823071906,2025-10-03,https://www.puertoviejosatellite.com/en/hone-creek/rancho-tranquilo/
