business_name,category,area,latitude,longitude,distance_km,geofilter,geofilter_reason,coordinate_source,phone,normalized_phone,website,instagram_handle,instagram_url,facebook_url,google_maps_cid,verified_date,operating_status,url,instagram_enrich_source,instagram_enrich_date,instagram_enrich_confidence,instagram_confidence,ig_verified,ig_verify_date,whatsapp,email,tiktok_url,youtube_url,twitter_url,other_social_urls,description_full,booking_url,tripadvisor_url
Watuza,cafe; restaurant,Puerto Viejo,9.6574,-82.755,0.290,pass,within_5km,osm,,,,cafeteriawatuza,https://www.instagram.com/cafeteriawatuza/,,,2026-07-06,needs_verification,,ddg_search,2026-07-06,medium,verified,true,2026-07-06,,,,,,,Discovered via codex_web_discovery,,
El Faro 13,hostel,Puerto Viejo,9.6560711,-82.7479054,0.596,pass,within_5km,osm,,,https://www.hostelworld.com/es/albergues/p/100822/el-faro-13-de-puerto-viejo/,hostelworld,https://www.instagram.com/hostelworld/,,,2026-07-06,needs_verification,,website_crawl,2026-07-06,high,verified,true,2026-07-06,,,,,,,Discovered via codex_verified,,
Hotel Los Sueños,hostel,Puerto Viejo,9.6548104,-82.7550824,0.206,pass,within_5km,osm,,,www.hotellossuenos.com,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Villa Bukë,hostel,Playa Negra,9.6551613,-82.7720541,2.056,pass,within_5km,osm,,,https://www.casasdelcaribe.com/alquiler/villa-playa-negra-villa-buke-con-piscina-tropical-414491.html,,,,,2026-07-06,needs_verification,,codex_web,2026-07-06,medium,unverified,false,,,,,,,,Discovered via codex_verified,,
Beach Hut,hotel,Puerto Viejo,9.6577326,-82.752862,0.264,pass,within_5km,osm,2750-0895,+50627500895,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Cabinas El Tesoro,hotel,Cocles,9.6535176,-82.7409774,1.367,pass,within_5km,osm,+506 2750 0128,+50627500128,,,,,,2026-07-06,needs_verification,,codex_web,2026-07-06,medium,unverified,false,,,,,,,,Discovered via codex_verified,,
Cabinas Orange Green,hotel,Puerto Viejo,9.6593823,-82.7492074,0.630,pass,within_5km,osm,44016057,+50644016057,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Cabinas Wray,hotel,Puerto Viejo,9.6526418,-82.762185,1.021,pass,within_5km,osm,506 8740 2102,+50687402102,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Casa Badawi,hotel,Puerto Viejo,9.6567388,-82.7486162,0.535,pass,within_5km,osm,+50687047926,+50687047926,https://airbnb.co.cr/h/casabadawi,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Casa Trinidad,hotel,Puerto Viejo,9.6568213,-82.7488544,0.512,pass,within_5km,osm,,,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Casa Tuareg,hotel,Puerto Viejo,9.6563765,-82.748938,0.490,pass,within_5km,osm,,,,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
Harmony: Mini Casa Rodante by Aptos Casa Caribe,hotel,Puerto Viejo,9.6500053,-82.7613801,1.070,pass,within_5km,osm,+506 8873 3707,+50688733707,https://www.aptocasacaribecr.com/,,,,,2026-07-06,needs_verification,,osm_tags,2026-07-06,medium,unverified,false,,,,,,,,Discovered via osm_tags,,
