business_name,source,latitude,longitude
Casa Vikingo,osm_only,9.657184,-82.775438
Playa 506,osm_only,9.649918,-82.736344
Beta life eco hostel,osm_only,9.656033,-82.75439
The Lazy Loft Beach Hostel,osm_only,9.658489,-82.752122
Maya Hostel,osm_only,9.639205,-82.732026
Selina Puerto Viejo,osm_only,9.656656,-82.743386
One Love Hostel,osm_only,9.650953,-82.762382
Cabinas Guarana,osm_only,9.655602,-82.753845
Selina Hostel Puerto Viejo,osm_only,9.656102,-82.742106
Backpackers Puerto Viejo,osm_only,9.657612,-82.751974
The Lion Fish,osm_only,9.656377,-82.754638
Hostel Kinkajou,osm_only,9.656348,-82.751646
Hostel Kalunai,osm_only,9.655675,-82.750589
Hotel La Isla Inn,osm_only,9.651895,-82.738924
Cabinas Rio Cocles,osm_only,9.648737,-82.735038
Cabinas El Tesoro,osm_only,9.653518,-82.740977
Backpacker Sunrise,osm_only,9.656482,-82.754721
Kaya's Place,osm_only,9.653795,-82.758536
Jordan's Jacuzzi Suites,osm_only,9.658569,-82.750661
Casa chiquita,osm_only,9.6367,-82.709985
Finca Ardilla,osm_only,9.62046,-82.73529
Aiyana Lodge,osm_only,9.656437,-82.746106
Hotel Hawa,osm_only,9.647352,-82.78163
Kinawe Cabinas,osm_only,9.648193,-82.777733
Cabinas WB,osm_only,9.65368,-82.767174
Azania Bungalow,osm_only,9.649781,-82.737709
Azania Bungalows,osm_only,9.65031,-82.73703
Cabinas Guana Art Shop,osm_only,9.655593,-82.753492
Calalu Cabinas,osm_only,9.657016,-82.748628
Camarona Caribbean Lodge,osm_only,9.657024,-82.745711
Casa Planet Harley,osm_only,9.637234,-82.733647
Cashew Hill Jungle Lodge,osm_only,9.653072,-82.753523
Chimuri Beach Cottages,osm_only,9.65632,-82.769868
Coco Congo,osm_only,9.653914,-82.762306
El Tucan Jungle Lodge,osm_only,9.638097,-82.737115
Geckoes Lodge,osm_only,9.635266,-82.734611
Hotel Kasha,osm_only,9.641609,-82.719201
Hotel Punta Cocles,osm_only,9.63783,-82.718114
Hotel Punta Cocles,osm_only,9.642472,-82.721147
Italia Villas,osm_only,9.63806,-82.706166
Jardín Miraflores Lodge,osm_only,9.639525,-82.713281
Le Cameleon Boutique Hotel,osm_only,9.644181,-82.728454
Los Continentes,osm_only,9.642898,-82.726445
Magic Moon,osm_only,9.656772,-82.770505
Namuwoki Lodge,osm_only,9.637653,-82.713108
Physis Caribbean Bed & Breakfast,osm_only,9.64321,-82.732682
Pizote Lodge,osm_only,9.651845,-82.760286
Sunrise Backpackers Hostel,osm_only,9.656392,-82.754682
Tierra de Suenos Lodge,osm_only,9.638098,-82.712528
Tree House Lodge,osm_only,9.637887,-82.707819
Vago's Place,osm_only,9.637419,-82.737521
La Perla del Caribe,osm_only,9.652989,-82.742207
El Nido,osm_only,9.638464,-82.711557
El Tucan Jungle Lodge,osm_only,9.640142,-82.734035
Blue Butterfly,osm_only,9.655607,-82.751525
Cabinas Olé Caribe,osm_only,9.641022,-82.727066
Jungle Green House,osm_only,9.635019,-82.712984
Casa Merlin Lodge,osm_only,9.638752,-82.717133
Pipa Lodge,osm_only,9.64654,-82.732851
Jacaranda,osm_only,9.655181,-82.75236
Vista Verde,osm_only,9.657917,-82.7488
Casa Cerise,osm_only,9.640169,-82.715403
Home Naranjo,osm_only,9.634586,-82.72787
Casa Naranjo,osm_only,9.634545,-82.727863
Puerto Viejo Club & Casitas,osm_only,9.655613,-82.773106
Sonora Jungle Beach Retreat,osm_only,9.659393,-82.787194
Villas Lomas del Caribe,osm_only,9.636715,-82.723433
Jungle Beach Bungalow,osm_only,9.648227,-82.74058
Finca Las Hormigas,osm_only,9.613634,-82.729833
Hotel Relax Natural Village,osm_only,9.643164,-82.733352
Hotel Indalo,osm_only,9.656355,-82.750528
Olinca Boutique Hotel,osm_only,9.657691,-82.750133
Hotel Sunshine Caribe,osm_only,9.65265,-82.757757
Hotel Mandacaru,osm_only,9.65874,-82.750556
Lizard King Resort,osm_only,9.658823,-82.750128
VIllas Allen,osm_only,9.650785,-82.763219
Hotel Aguas Claras,osm_only,9.64289,-82.720446
Tierra de Sueños Lodge,osm_only,9.637985,-82.710571
Cabinas Yucca,osm_only,9.659139,-82.750077
Cabinas Grant,osm_only,9.656004,-82.754946
Hotel Tamara,osm_only,9.657201,-82.750745
Cabinas Kiré,osm_only,9.65843,-82.74827
Cabinas Garibaldi,osm_only,9.650329,-82.737251
Sol del Caribe,osm_only,9.650567,-82.737291
Villas del Caribe Beach,osm_only,9.643734,-82.722307
Caribe Town Resort,osm_only,9.642991,-82.728418
Hotel Banana Azul,osm_only,9.658568,-82.773518
Natural Puerto Viejo,osm_only,9.658111,-82.773092
Roca Mar Apart Hotel,osm_only,9.655789,-82.750748
Restaurante Isma,osm_only,9.656365,-82.75486
Restaurante Miss Sam,osm_only,9.656141,-82.752314
Restaurante El Dorado,osm_only,9.657224,-82.754042
GLOW,osm_only,9.657382,-82.753616
Pollo Rapido,osm_only,9.655563,-82.754178
Stanford Lazy Mon,osm_only,9.658499,-82.752232
El Paso,osm_only,9.659054,-82.750152
Tasty Waves Cantina,osm_only,9.653491,-82.740663
Alice,osm_only,9.637877,-82.711723
BriBri Springs Brewery,osm_only,9.653806,-82.758475
Tiaré,osm_only,9.658787,-82.748554
Lecheria Las Lapas,osm_only,9.656212,-82.755865
Soda Caribbean,osm_only,9.65609,-82.753399
Solo Bueno,osm_only,9.646511,-82.782972
Tamara Caribbean Restaurant,osm_only,9.657308,-82.753838
Panadería y Cafetería,osm_only,9.65631,-82.755007
El Rincon Porteño,osm_only,9.64314,-82.723232
Ocho nani,osm_only,9.657624,-82.755232
Playa negra brewing,osm_only,9.653791,-82.758595
La NENA,osm_only,9.644567,-82.729904
Zaika Indian Cuisine Bar & Grill,osm_only,9.643426,-82.726368
GypSea Café,osm_only,9.637635,-82.708799
Soda Elisabeth,osm_only,9.656935,-82.753233
Reggae Chill,osm_only,9.652717,-82.739766
Soda Monarca,osm_only,9.644249,-82.731001
Apetito Express,osm_only,9.648134,-82.790534
Soda Fiquiimu,osm_only,9.656686,-82.770289
Isla Cocteles,osm_only,9.652107,-82.738947
Frio Divino,osm_only,9.658759,-82.750411
Puerto Viejo de Talamanca,osm_only,9.649654,-82.775088
Princesa del Mar,osm_only,9.657525,-82.753411
La Misión,osm_only,9.656101,-82.75585
Koi Dorado,osm_only,9.654221,-82.766373
Kayas Place - Dulce's Restaurant,osm_only,9.653768,-82.758536
Bikini Bar Restaurant & Hostel,osm_only,9.65708,-82.753974
Soda Riquísimo,osm_only,9.657422,-82.753975
Sel & Sucre,osm_only,9.655568,-82.754811
Outback-Jack's,osm_only,9.656284,-82.755584
Pizzeria Boruca,osm_only,9.656875,-82.754619
Black & White,osm_only,9.658219,-82.75195
Marisquería Puerto Viejo,osm_only,9.658258,-82.751909
Honua Poke,osm_only,9.658366,-82.751819
Caribeans,osm_only,9.653672,-82.74094
Restaurant Bamboocha,osm_only,9.644476,-82.729672
Le Numu,osm_only,9.643818,-82.727926
El Ranchón,osm_only,9.650079,-82.801305
Jammin Vegan Restaurant,osm_only,9.659042,-82.749386
Playa Chiquita Paradise,osm_only,9.64066,-82.711396
DIWO,osm_only,9.639004,-82.713464
Pura Gula,osm_only,9.638284,-82.712318
Namuwoki Lodge,osm_only,9.637853,-82.713255
exchange,osm_only,9.657806,-82.754965
MaNú,osm_only,9.658804,-82.749449
