business_name,url,status,error,redirect_url,instagram_url,facebook_url,whatsapp,booking_url,tiktok_url,youtube_url,twitter_url,email
Cabinas Los Almendros,http://www.anrdoezrs.net/links/2369666/type/dlg/https://www.tripadvisor.com/Hotel_Review-g309265-d1048997-Reviews-Cabinas_Los_Almendros-Puerto_Viejo_de_Talamanca_Province_of_Limon.html,403,,https://www.tripadvisor.com/Hotel_Review-g309265-d1048997-Reviews-Cabinas_Los_Almendros-Puerto_Viejo_de_Talamanca_Province_of_Limon.html?cja=11552042&cjp=2369666&cjs=&m=13092&PID=cj_int,,,,,,,,
Cabinas Popular,http://www.cabinaspopular.com/,200,,http://www.cabinaspopular.com/,,,,,,,,
Cabinas Talamanca,http://www.cabinastalamanca.com/,202,,https://www.booking.com/hotel/cr/cabinas-cable-talamanca.es.html??aid=2438894&no_rooms=1&group_adults=2&label=cabinastalamanca,,,,,,,,
Casa Dolce Vita,http://hoteldetail.eu/cabinas-casa-dolce-vita,200,,https://bestplacesinmap.eu/cabinas-casa-dolce-vita?correlationID=2521325f-b348-4c7a-b599-ae63cdba8ca6,,,,,,,,
Escape Caribeño,http://www.escapecaribeno.com/,200,,https://escapecaribeno.com/,,https://www.facebook.com/escape.caribeno.5,,,,,,https:escapecaribeno@gmail.com; https:gabriel.anta@gmail.com
Hotel Tropical,https://www.rolfblancke.com/,200,,https://www.rolfblancke.com/,,,,,,,,https:mail@example.com
"Hidden Jungle Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.casitasmaryluz.com/,200,,http://www.casitasmaryluz.com/,,https://www.facebook.com/casitasmaryluz; https://www.facebook.com/tr,,,,,,https:casitasmaryluz@gmail.com
"Villas Allen - Playa Negra, Puerto Viejo, Limón, Costa Rica",http://www.villasallen.com/,200,,https://www.villasallen.com/,https://www.instagram.com/villasallen,https://www.facebook.com/villasallen.puertoviejo,,,,,,https:605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com; https:8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com
"Cariblue Beach and Jungle Resort - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://cariblue.com/,200,,https://cariblue.com/,https://www.instagram.com/caribluehotel,https://www.facebook.com/caribluehotel,https://wa.me/50683141965,,https://www.tiktok.com/@caribluehotelcr,https://www.youtube.com/@caribluehotelcocles,,https:info@cariblue.com; https:reservations@cariblue.com
"Relax Natural Village - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.relaxnaturalvillage.com/,200,,https://www.relaxnaturalvillage.com/,,https://www.facebook.com/relaxnaturalvillage,,,,,,
"Satta Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",https://www.sattalodge.com/,200,,https://sattalodge.com/,https://www.instagram.com/sattalodge,https://www.facebook.com/sattalodge; https://www.facebook.com/sharer.php,,,,,https://twitter.com/share,https:contact@sattalodge.com
